# betaPara  betaPerp  deltaPara  deltaPerp  beta  delta  energy
2.310858681229723400e-04 2.310858681229723400e-04 2.075832141676636679e-03 2.055199123762858210e-03 2.310858681229723400e-04 1.974495465764825302e-03 2.792382934406325035e+02
2.322648033783700520e-04 2.322648033783696454e-04 2.073157977205696521e-03 2.052523503567133846e-03 2.322648033783723559e-04 1.971546203536061071e-03 2.792625868812649514e+02
2.334433249615496745e-04 2.334433249615499456e-04 2.070455134894266455e-03 2.049819469428464883e-03 2.334433249615517345e-04 1.968566484740000462e-03 2.792868803218974563e+02
2.346214330348668237e-04 2.346214330348638151e-04 2.067722252297030626e-03 2.047085664137737997e-03 2.346214330348683416e-04 1.965554928528261656e-03 2.793111737625299611e+02
2.357991277606001645e-04 2.357991277606006795e-04 2.064957841189376045e-03 2.044320604817109234e-03 2.357991277606011132e-04 1.962510028005523023e-03 2.793354672031624091e+02
2.369764093009628760e-04 2.369764093009637162e-04 2.062160270289311280e-03 2.041522665644954562e-03 2.369764093009664539e-04 1.959430132946352564e-03 2.793597606437949139e+02
2.381532778180830002e-04 2.381532778180844910e-04 2.059327744798837741e-03 2.038690057401960475e-03 2.381532778180863071e-04 1.956313429332067182e-03 2.793840540844274187e+02
2.393297334740174015e-04 2.393297334740156397e-04 2.056458282056940028e-03 2.035820803126991378e-03 2.393297334740169678e-04 1.953157914998040513e-03 2.794083475250599236e+02
2.405057764307440141e-04 2.405057764307418728e-04 2.053549682334317953e-03 2.032912708913304362e-03 2.405057764307459115e-04 1.949961370423004608e-03 2.794326409656923715e+02
2.416814068501739585e-04 2.416814068501760727e-04 2.050599493570392628e-03 2.029963328647724566e-03 2.416814068501755848e-04 1.946721323460245999e-03 2.794569344063248764e+02
2.428566248941355760e-04 2.428566248941380155e-04 2.047604968429213735e-03 2.026969921075998451e-03 2.428566248941398315e-04 1.943435006389012667e-03 2.794812278469573812e+02
2.440314307243813142e-04 2.440314307243797421e-04 2.044563011573791948e-03 2.023929397073501082e-03 2.440314307243814768e-04 1.940099303181817359e-03 2.795055212875898292e+02
2.452058245025968606e-04 2.452058245025959390e-04 2.041470114300865737e-03 2.020838254285628639e-03 2.452058245026000048e-04 1.936710684133352957e-03 2.795298147282223340e+02
2.463798063903854764e-04 2.463798063903849343e-04 2.038322272662018361e-03 2.017692495256020839e-03 2.463798063903880784e-04 1.933265123976271290e-03 2.795541081688548388e+02
2.475533765492743659e-04 2.475533765492770764e-04 2.035114883761564124e-03 2.014487523724523520e-03 2.475533765492761006e-04 1.929757998173145745e-03 2.795784016094872868e+02
2.487265351407243262e-04 2.487265351407240009e-04 2.031842612720322246e-03 2.011218011594585915e-03 2.487265351407257357e-04 1.926183949871876615e-03 2.796026950501197916e+02
2.498992823261135922e-04 2.498992823261136464e-04 2.028499219656287097e-03 2.007877725919832417e-03 2.498992823261144596e-04 1.922536716881740465e-03 2.796269884907522965e+02
2.510716182667444506e-04 2.510716182667443964e-04 2.025077331140411226e-03 2.004459300364869363e-03 2.510716182667479201e-04 1.918808903122706105e-03 2.796512819313847444e+02
2.522435431238538106e-04 2.522435431238541359e-04 2.021568133003190122e-03 2.000953928012425779e-03 2.522435431238567922e-04 1.914991671423117844e-03 2.796755753720172493e+02
2.534150570585943932e-04 2.534150570585916827e-04 2.017960949227616714e-03 1.997350940263551648e-03 2.534150570585938511e-04 1.911074322407484193e-03 2.796998688126497541e+02
2.545861602320478498e-04 2.545861602320455730e-04 2.014242651524346481e-03 1.993637216419055780e-03 2.545861602320500182e-04 1.907043704064623636e-03 2.797241622532822589e+02
2.557568528052178236e-04 2.557568528052187452e-04 2.010396809798470699e-03 1.989796334143743763e-03 2.557568528052191247e-04 1.902883362204912509e-03 2.797484556939147069e+02
2.569271349390413336e-04 2.569271349390428514e-04 2.006402432216023834e-03 1.985807309547673108e-03 2.569271349390455077e-04 1.898572280521624439e-03 2.797727491345472117e+02
2.580970067943733786e-04 2.580970067943716439e-04 2.002232028662620511e-03 1.981642660642234099e-03 2.580970067943737581e-04 1.894082944040901065e-03 2.797970425751797166e+02
2.592664685319934974e-04 2.592664685319913832e-04 1.997848503607093078e-03 1.977265300211224121e-03 2.592664685319962621e-04 1.889378231976842617e-03 2.798213360158121645e+02
2.604355203126150920e-04 2.604355203126136283e-04 1.993199901463823913e-03 1.972623281181068618e-03 2.604355203126175857e-04 1.884406163086812212e-03 2.798456294564446694e+02
2.616041622968693281e-04 2.616041622968718759e-04 1.988209912732211322e-03 1.967640302762136209e-03 2.616041622968713880e-04 1.879090401802152675e-03 2.798699228970771742e+02
