beta_P3HTpara beta_P3HTperp delta_P3HT_para delta_P3HTperp delta_P3HT beta_P3HT energy_P3HT
0.345939147 0.345939147 -0.557471921 -0.54968927 -2.737756256 0.402507411 10
0.352411979 0.352411979 -0.180245383 -0.172705959 -1.39102812 0.410038686 10.1617
0.359007825 0.359007825 -0.1209874 -0.113685115 -1.18032705 0.417713091 10.3261
0.365738686 0.365738686 -0.091986395 -0.084915508 -1.04933862 0.425544588 10.4931
0.372602797 0.372602797 -0.076476027 -0.069628567 -0.952742298 0.433531124 10.6628
0.379936978 0.379936978 -0.067898344 -0.061266679 -0.876106472 0.442064597 10.8353
0.388402807 0.388402807 -0.062884068 -0.056460787 -0.812071091 0.451914765 11.0106
0.397086232 0.397086232 -0.059525791 -0.053304458 -0.756776607 0.462018111 11.1886
0.406622086 0.406622086 -0.056744112 -0.050720888 -0.708341797 0.473113276 11.3696
0.417764365 0.417764365 -0.054770749 -0.048936192 -0.664055351 0.48607755 11.5535
0.429208234 0.429208234 -0.050992185 -0.045342597 -0.62200296 0.49939273 11.7404
0.440969718 0.440969718 -0.045537816 -0.040064481 -0.580176962 0.513077463 11.9303
0.449069241 0.449069241 -0.038391085 -0.033091562 -0.539900953 0.522501426 12.1232
0.456343495 0.456343495 -0.032332761 -0.027201032 -0.503364894 0.530965173 12.3193
0.46376946 0.46376946 -0.026455264 -0.02148549 -0.469127466 0.539605437 12.5186
0.471365003 0.471365003 -0.019445903 -0.014632361 -0.435263784 0.54844301 12.721
0.476822171 0.476822171 -0.011926097 -0.007263419 -0.402495703 0.55479254 12.9268
0.48236953 0.48236953 -0.004324716 0.000191196 -0.371614718 0.561247008 13.1359
0.488119463 0.488119463 0.005520741 0.009893069 -0.339388806 0.567937174 13.3483
0.489351977 0.489351977 0.01556513 0.019801085 -0.307942276 0.569371229 13.5642
0.489822922 0.489822922 0.024129271 0.028231256 -0.2799417 0.569919185 13.7836
0.490332406 0.490332406 0.032097681 0.036069603 -0.253785139 0.57051198 14.0066
0.490892185 0.490892185 0.040281599 0.044128238 -0.228346573 0.571163294 14.2331
0.490841902 0.490841902 0.049438338 0.053163853 -0.20258923 0.571104789 14.4633
0.48845804 0.48845804 0.059063926 0.06267269 -0.176955123 0.568331116 14.6973
0.483212728 0.483212728 0.067022061 0.070518114 -0.154295144 0.562228086 14.935
0.478067562 0.478067562 0.072927645 0.076312177 -0.135122473 0.556241577 15.1765
0.473012152 0.473012152 0.077256281 0.080535557 -0.118191551 0.550359503 15.422
0.468049573 0.468049573 0.080439984 0.083615384 -0.103433593 0.544585439 15.6714
0.463638878 0.463638878 0.082069988 0.085154985 -0.092045676 0.539453503 15.9
0.463162141 0.463162141 0.082246219 0.08532122 -0.090888648 0.53889881 15.9249
0.459150023 0.459150023 0.082065799 0.08507484 -0.084144834 0.534230626 16.1
0.457282074 0.457282074 0.081586719 0.08456492 -0.081531575 0.532057229 16.1825
0.44815002 0.44815002 0.070389068 0.073273951 -0.08400708 0.521431894 16.4442
0.451696433 0.451696433 0.031281294 0.034075832 -0.120388405 0.525558219 16.7102
0.561778355 0.561778355 0.054519729 0.057225197 -0.077890785 0.653640831 16.9805
0.543314842 0.543314842 0.124283372 0.126904689 0.002830859 0.632158149 17.2551
0.525650927 0.525650927 0.155985503 0.158524278 0.046706977 0.611605816 17.5342
0.508257877 0.508257877 0.178832112 0.181290813 0.08015639 0.591368638 17.8178
0.489717178 0.489717178 0.196271569 0.198653099 0.107222233 0.569796149 18.106
0.471963019 0.471963019 0.209506262 0.211813017 0.128790181 0.549138815 18.3989
0.454965328 0.454965328 0.220197173 0.222430545 0.147111655 0.529361646 18.6964
0.438400383 0.438400383 0.228910653 0.231074708 0.162875843 0.510087988 18.9988
0.422538739 0.422538739 0.236130038 0.238225758 0.176549878 0.491632634 19.3061
0.407300323 0.407300323 0.242331773 0.244361445 0.188760378 0.473902419 19.6184
0.392596624 0.392596624 0.247980387 0.249946445 0.200062002 0.456794359 19.9357
0.377957628 0.377957628 0.253603651 0.255508145 0.211121026 0.439761581 20.2582
0.361821065 0.361821065 0.258405283 0.260249237 0.221152092 0.420986354 20.5858
0.345494619 0.345494619 0.26128784 0.263074401 0.228538094 0.401990193 20.9188
0.329953601 0.329953601 0.262699656 0.264430373 0.233970924 0.383907896 21.2571
0.315153369 0.315153369 0.263207786 0.264884167 0.238173767 0.366687517 21.6009
0.301056625 0.301056625 0.263078926 0.264702338 0.241441393 0.350285661 21.9503
0.287630382 0.287630382 0.262528566 0.264100787 0.24402524 0.334663948 22.3053
0.274837955 0.274837955 0.261941714 0.263464791 0.246428426 0.319779692 22.6661
0.261881232 0.261881232 0.26142543 0.262900986 0.248843246 0.304704275 23.0327
0.248104642 0.248104642 0.260012857 0.261442085 0.250042589 0.288674924 23.4053
0.235084645 0.235084645 0.257381067 0.258765168 0.249562643 0.273525886 23.7838
0.222787809 0.222787809 0.254052247 0.255393016 0.248161345 0.259218261 24.1685
0.211393114 0.211393114 0.250365441 0.251663975 0.246222526 0.245960297 24.5594
0.200585362 0.200585362 0.246538601 0.247796583 0.244012866 0.233385252 24.9566
0.190343258 0.190343258 0.242695995 0.243914425 0.2416852 0.22146835 25.3603
0.18023448 0.18023448 0.238722353 0.239902786 0.23910121 0.209706576 25.7705
0.170579555 0.170579555 0.234546244 0.23568965 0.236165594 0.19847287 26.1873
0.161100014 0.161100014 0.230144143 0.231251957 0.232886017 0.187443225 26.6109
0.152027563 0.152027563 0.225396962 0.226470057 0.229082543 0.176887239 27.0413
0.143504814 0.143504814 0.22042585 0.221465087 0.22492324 0.166970844 27.4786
0.135492984 0.135492984 0.215376519 0.216383664 0.220614617 0.157648912 27.9231
0.12783615 0.12783615 0.21027258 0.211248029 0.216155333 0.148740027 28.3747
0.120621759 0.120621759 0.2050877 0.206032693 0.211516302 0.140345931 28.8337
0.113855619 0.113855619 0.199963044 0.200878582 0.206896491 0.132473387 29.3
0.107232468 0.107232468 0.194823052 0.195709802 0.202201467 0.124767213 29.7739
0.10093203 0.10093203 0.189464667 0.190323585 0.197147515 0.117436522 30.2555
0.095279154 0.095279154 0.184075326 0.184907516 0.192006874 0.110859282 30.7449
0.089986876 0.089986876 0.178838456 0.179644979 0.187006099 0.104701607 31.2421
0.08500387 0.08500387 0.173708105 0.174489213 0.182065068 0.098903775 31.7475
0.080325392 0.080325392 0.168674298 0.169431016 0.177185742 0.093460269 32.2609
0.0759214 0.0759214 0.163740938 0.164474242 0.172377343 0.088336132 32.7827
0.071772087 0.071772087 0.158910113 0.159620425 0.167637846 0.08350832 33.313
0.067871471 0.067871471 0.154182459 0.154870766 0.162977038 0.078969872 33.8518
0.064191929 0.064191929 0.149562264 0.150229063 0.158399468 0.074688648 34.3993
0.060720056 0.060720056 0.145025744 0.145671883 0.153875877 0.070649051 34.9557
0.057506348 0.057506348 0.140603825 0.141229728 0.149446491 0.066909835 35.5211
0.054481182 0.054481182 0.136324399 0.1369309 0.145152331 0.063389991 36.0956
0.051625452 0.051625452 0.132172709 0.132760563 0.140971571 0.060067291 36.6794
0.049252083 0.049252083 0.128632782 0.129204467 0.137398108 0.057305826 37.2
0.048929604 0.048929604 0.128147406 0.128716906 0.136907629 0.056930615 37.2727
0.048379289 0.048379289 0.127305718 0.127871417 0.136056133 0.056290312 37.4
0.046379023 0.046379023 0.124243927 0.124795798 0.132955152 0.05396296 37.8755
0.043967747 0.043967747 0.120462882 0.120997587 0.129109048 0.051157391 38.4882
0.041687726 0.041687726 0.11682842 0.117346678 0.12541336 0.048504538 39.1107
0.039443579 0.039443579 0.113313837 0.113815997 0.121834775 0.045893427 39.7432
0.037254969 0.037254969 0.109842416 0.110328902 0.118274945 0.043346933 40.3861
0.035190801 0.035190801 0.106406202 0.106877633 0.114729726 0.040945231 41.0393
0.033256096 0.033256096 0.10303218 0.103489067 0.111235442 0.038694161 41.7031
0.031446943 0.031446943 0.099739153 0.100182003 0.107816338 0.036589174 42.3776
0.029736555 0.029736555 0.096526756 0.09695596 0.104471154 0.034599102 43.063
0.028130595 0.028130595 0.093385614 0.093801449 0.101188022 0.032730534 43.7595
0.026628788 0.026628788 0.090313226 0.090716349 0.097970846 0.03098315 44.4673
0.025223861 0.025223861 0.087285523 0.087676186 0.094774951 0.029348488 45.1865
0.024028575 0.024028575 0.084364599 0.08474336 0.09169602 0.027957748 45.9174
0.022892716 0.022892716 0.081600606 0.081967715 0.088788382 0.026636153 46.66
0.021813309 0.021813309 0.078945028 0.079300816 0.085989556 0.02538024 47.4147
0.020787502 0.020787502 0.076380871 0.076725812 0.083282241 0.024186692 48.1816
0.01982507 0.01982507 0.073905926 0.074240221 0.080664457 0.023066882 48.9609
0.018914504 0.018914504 0.071519177 0.071843332 0.078137568 0.022007419 49.7528
0.018054788 0.018054788 0.069218391 0.069532604 0.075697651 0.021007122 50.5576
0.017238223 0.017238223 0.067005603 0.067310165 0.07335043 0.020057032 51.3753
0.016439441 0.016439441 0.064861436 0.06515672 0.071073269 0.019127632 52.2062
0.015680208 0.015680208 0.062760679 0.063046968 0.068831401 0.018244249 53.0506
0.014998285 0.014998285 0.060719453 0.060997032 0.066648637 0.017450817 53.9087
0.014375355 0.014375355 0.058767107 0.059036241 0.06456291 0.016726025 54.7806
0.013779967 0.013779967 0.056900063 0.05716102 0.062568151 0.016033279 55.6667
0.013212094 0.013212094 0.055105095 0.05535818 0.060647866 0.015372547 56.567
0.012673271 0.012673271 0.053379938 0.053625367 0.058800314 0.014745616 57.482
0.012158642 0.012158642 0.051727163 0.051965124 0.057029895 0.014146834 58.4117
0.011654877 0.011654877 0.050139456 0.050370241 0.055327832 0.013560692 59.3564
0.01116951 0.01116951 0.04861389 0.04883775 0.053690703 0.012995958 60.3165
0.010687172 0.010687172 0.047152781 0.047369886 0.052124202 0.012434747 61.2921
0.010184022 0.010184022 0.04572694 0.045937584 0.050592662 0.011849322 62.2834
0.009705848 0.009705848 0.044323633 0.044527935 0.049077746 0.011292956 63.2908
0.009249546 0.009249546 0.042956471 0.043154686 0.04760075 0.010762039 64.3145
0.008811671 0.008811671 0.041625671 0.041817918 0.046160457 0.010252563 65.3547
0.008395438 0.008395438 0.040330369 0.040516896 0.044756285 0.009768267 66.4118
0.007999782 0.007999782 0.039073248 0.039254239 0.043392034 0.009307913 67.4859
0.00762007 0.00762007 0.037852498 0.038028144 0.042065562 0.008866111 68.5775
0.007258474 0.007258474 0.036666431 0.036836838 0.040774622 0.008445386 69.6867
0.006914566 0.006914566 0.03551511 0.035680508 0.039520033 0.008045242 70.8138
0.00658756 0.00658756 0.034399687 0.034560206 0.038303455 0.007664763 71.9591
0.006271992 0.006271992 0.033317714 0.033473512 0.037122181 0.007297594 73.123
0.00596977 0.00596977 0.032265284 0.032416513 0.035971364 0.006945952 74.3057
0.005683053 0.005683053 0.031241646 0.031388452 0.034850361 0.006612351 75.5076
0.005413084 0.005413084 0.030248696 0.030391228 0.033761942 0.006298236 76.7289
0.005156276 0.005156276 0.029287129 0.029425503 0.032707027 0.005999434 77.9699
0.004911635 0.004911635 0.028355656 0.028490009 0.031684237 0.00571479 79.231
0.004677177 0.004677177 0.027452541 0.027583039 0.0306917 0.005441992 80.5125
0.004453577 0.004453577 0.026576346 0.026703055 0.029727579 0.00518183 81.8147
0.004240522 0.004240522 0.025726184 0.025849287 0.028791334 0.004933936 83.138
0.00403773 0.00403773 0.024901589 0.025021173 0.027882334 0.004697983 84.4827
0.003844809 0.003844809 0.024101998 0.024218148 0.027000051 0.004473516 85.8491
0.003661271 0.003661271 0.023326645 0.023439519 0.026143875 0.004259965 87.2377
0.003486501 0.003486501 0.022575128 0.022684778 0.025313231 0.004056616 88.6487
0.003320049 0.003320049 0.021846524 0.021953101 0.024507336 0.003862946 90.0825
0.003161445 0.003161445 0.021140233 0.021243817 0.023725483 0.003678408 91.5395
0.003010154 0.003010154 0.020455312 0.020556026 0.022966707 0.003502376 93.0201
0.002866218 0.002866218 0.019791146 0.01988908 0.022230329 0.003334904 94.5246
0.002729264 0.002729264 0.019147284 0.019242497 0.021515874 0.003175555 96.0535
0.002598952 0.002598952 0.018523202 0.018615795 0.020822859 0.003023934 97.6071
0.002474957 0.002474957 0.017918657 0.018008738 0.020151184 0.002879664 99.1858
0.002355816 0.002355816 0.01733285 0.017420492 0.019499949 0.002741041 100.79
0.002241358 0.002241358 0.016764173 0.016849449 0.018867179 0.002607867 102.42
0.002132552 0.002132552 0.016211698 0.016294681 0.018251928 0.002481269 104.077
0.002029092 0.002029092 0.015675706 0.015756467 0.017654633 0.002360891 105.76
0.001930903 0.001930903 0.015155157 0.015233785 0.017074136 0.002246645 107.471
0.001838146 0.001838146 0.014650315 0.0147269 0.016510808 0.002138721 109.209
0.001750358 0.001750358 0.014160937 0.014235529 0.015964389 0.002036578 110.975
0.001667035 0.001667035 0.013686574 0.013759221 0.015434428 0.00193963 112.77
