beta_P3HTpara beta_P3HTperp delta_P3HTpara delta_P3HTperp delta_P3HT beta_P3HT energy_P3HT
0.402507411 0.402507411 -2.737756256 -2.737756256 -2.737756256 0.402507411 10.0
0.410038686 0.410038686 -1.39102812 -1.39102812 -1.39102812 0.410038686 10.1617
0.417713091 0.417713091 -1.18032705 -1.18032705 -1.18032705 0.417713091 10.3261
0.425544588 0.425544588 -1.04933862 -1.04933862 -1.04933862 0.425544588 10.4931
0.433531124 0.433531124 -0.952742298 -0.952742298 -0.952742298 0.433531124 10.6628
0.442064597 0.442064597 -0.876106472 -0.876106472 -0.876106472 0.442064597 10.8353
0.451914765 0.451914765 -0.812071091 -0.812071091 -0.812071091 0.451914765 11.0106
0.462018111 0.462018111 -0.756776607 -0.756776607 -0.756776607 0.462018111 11.1886
0.473113276 0.473113276 -0.708341797 -0.708341797 -0.708341797 0.473113276 11.3696
0.48607755 0.48607755 -0.664055351 -0.664055351 -0.664055351 0.48607755 11.5535
0.49939273 0.49939273 -0.62200296 -0.62200296 -0.62200296 0.49939273 11.7404
0.513077463 0.513077463 -0.580176962 -0.580176962 -0.580176962 0.513077463 11.9303
0.522501426 0.522501426 -0.539900953 -0.539900953 -0.539900953 0.522501426 12.1232
0.530965173 0.530965173 -0.503364894 -0.503364894 -0.503364894 0.530965173 12.3193
0.539605437 0.539605437 -0.469127466 -0.469127466 -0.469127466 0.539605437 12.5186
0.54844301 0.54844301 -0.435263784 -0.435263784 -0.435263784 0.54844301 12.721
0.55479254 0.55479254 -0.402495703 -0.402495703 -0.402495703 0.55479254 12.9268
0.561247008 0.561247008 -0.371614718 -0.371614718 -0.371614718 0.561247008 13.1359
0.567937174 0.567937174 -0.339388806 -0.339388806 -0.339388806 0.567937174 13.3483
0.569371229 0.569371229 -0.307942276 -0.307942276 -0.307942276 0.569371229 13.5642
0.569919185 0.569919185 -0.2799417 -0.2799417 -0.2799417 0.569919185 13.7836
0.57051198 0.57051198 -0.253785139 -0.253785139 -0.253785139 0.57051198 14.0066
0.571163294 0.571163294 -0.228346573 -0.228346573 -0.228346573 0.571163294 14.2331
0.571104789 0.571104789 -0.20258923 -0.20258923 -0.20258923 0.571104789 14.4633
0.568331116 0.568331116 -0.176955123 -0.176955123 -0.176955123 0.568331116 14.6973
0.562228086 0.562228086 -0.154295144 -0.154295144 -0.154295144 0.562228086 14.935
0.556241577 0.556241577 -0.135122473 -0.135122473 -0.135122473 0.556241577 15.1765
0.550359503 0.550359503 -0.118191551 -0.118191551 -0.118191551 0.550359503 15.422
0.544585439 0.544585439 -0.103433593 -0.103433593 -0.103433593 0.544585439 15.6714
0.539453503 0.539453503 -0.092045676 -0.092045676 -0.092045676 0.539453503 15.9
0.53889881 0.53889881 -0.090888648 -0.090888648 -0.090888648 0.53889881 15.9249
0.534230626 0.534230626 -0.084144834 -0.084144834 -0.084144834 0.534230626 16.1
0.532057229 0.532057229 -0.081531575 -0.081531575 -0.081531575 0.532057229 16.1825
0.521431894 0.521431894 -0.08400708 -0.08400708 -0.08400708 0.521431894 16.4442
0.525558219 0.525558219 -0.120388405 -0.120388405 -0.120388405 0.525558219 16.7102
0.653640831 0.653640831 -0.077890785 -0.077890785 -0.077890785 0.653640831 16.9805
0.632158149 0.632158149 0.002830859 0.002830859 0.002830859 0.632158149 17.2551
0.611605816 0.611605816 0.046706977 0.046706977 0.046706977 0.611605816 17.5342
0.591368638 0.591368638 0.08015639 0.08015639 0.08015639 0.591368638 17.8178
0.569796149 0.569796149 0.107222233 0.107222233 0.107222233 0.569796149 18.106
0.549138815 0.549138815 0.128790181 0.128790181 0.128790181 0.549138815 18.3989
0.529361646 0.529361646 0.147111655 0.147111655 0.147111655 0.529361646 18.6964
0.510087988 0.510087988 0.162875843 0.162875843 0.162875843 0.510087988 18.9988
0.491632634 0.491632634 0.176549878 0.176549878 0.176549878 0.491632634 19.3061
0.473902419 0.473902419 0.188760378 0.188760378 0.188760378 0.473902419 19.6184
0.456794359 0.456794359 0.200062002 0.200062002 0.200062002 0.456794359 19.9357
0.439761581 0.439761581 0.211121026 0.211121026 0.211121026 0.439761581 20.2582
0.420986354 0.420986354 0.221152092 0.221152092 0.221152092 0.420986354 20.5858
0.401990193 0.401990193 0.228538094 0.228538094 0.228538094 0.401990193 20.9188
0.383907896 0.383907896 0.233970924 0.233970924 0.233970924 0.383907896 21.2571
0.366687517 0.366687517 0.238173767 0.238173767 0.238173767 0.366687517 21.6009
0.350285661 0.350285661 0.241441393 0.241441393 0.241441393 0.350285661 21.9503
0.334663948 0.334663948 0.24402524 0.24402524 0.24402524 0.334663948 22.3053
0.319779692 0.319779692 0.246428426 0.246428426 0.246428426 0.319779692 22.6661
0.304704275 0.304704275 0.248843246 0.248843246 0.248843246 0.304704275 23.0327
0.288674924 0.288674924 0.250042589 0.250042589 0.250042589 0.288674924 23.4053
0.273525886 0.273525886 0.249562643 0.249562643 0.249562643 0.273525886 23.7838
0.259218261 0.259218261 0.248161345 0.248161345 0.248161345 0.259218261 24.1685
0.245960297 0.245960297 0.246222526 0.246222526 0.246222526 0.245960297 24.5594
0.233385252 0.233385252 0.244012866 0.244012866 0.244012866 0.233385252 24.9566
0.22146835 0.22146835 0.2416852 0.2416852 0.2416852 0.22146835 25.3603
0.209706576 0.209706576 0.23910121 0.23910121 0.23910121 0.209706576 25.7705
0.19847287 0.19847287 0.236165594 0.236165594 0.236165594 0.19847287 26.1873
0.187443225 0.187443225 0.232886017 0.232886017 0.232886017 0.187443225 26.6109
0.176887239 0.176887239 0.229082543 0.229082543 0.229082543 0.176887239 27.0413
0.166970844 0.166970844 0.22492324 0.22492324 0.22492324 0.166970844 27.4786
0.157648912 0.157648912 0.220614617 0.220614617 0.220614617 0.157648912 27.9231
0.148740027 0.148740027 0.216155333 0.216155333 0.216155333 0.148740027 28.3747
0.140345931 0.140345931 0.211516302 0.211516302 0.211516302 0.140345931 28.8337
0.132473387 0.132473387 0.206896491 0.206896491 0.206896491 0.132473387 29.3
0.124767213 0.124767213 0.202201467 0.202201467 0.202201467 0.124767213 29.7739
0.117436522 0.117436522 0.197147515 0.197147515 0.197147515 0.117436522 30.2555
0.110859282 0.110859282 0.192006874 0.192006874 0.192006874 0.110859282 30.7449
0.104701607 0.104701607 0.187006099 0.187006099 0.187006099 0.104701607 31.2421
0.098903775 0.098903775 0.182065068 0.182065068 0.182065068 0.098903775 31.7475
0.093460269 0.093460269 0.177185742 0.177185742 0.177185742 0.093460269 32.2609
0.088336132 0.088336132 0.172377343 0.172377343 0.172377343 0.088336132 32.7827
0.08350832 0.08350832 0.167637846 0.167637846 0.167637846 0.08350832 33.313
0.078969872 0.078969872 0.162977038 0.162977038 0.162977038 0.078969872 33.8518
0.074688648 0.074688648 0.158399468 0.158399468 0.158399468 0.074688648 34.3993
0.070649051 0.070649051 0.153875877 0.153875877 0.153875877 0.070649051 34.9557
0.066909835 0.066909835 0.149446491 0.149446491 0.149446491 0.066909835 35.5211
0.063389991 0.063389991 0.145152331 0.145152331 0.145152331 0.063389991 36.0956
0.060067291 0.060067291 0.140971571 0.140971571 0.140971571 0.060067291 36.6794
