# beta  beta  delta  delta  beta  delta  energy
0.000000000000000000e+00 0.000000000000000000e+00 2.790105826947846326e-03 2.790105826947846326e-03 0.000000000000000000e+00 2.790105826947846326e-03 2.825900660019940460e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.789579143667399955e-03 2.789579143667399955e-03 0.000000000000000000e+00 2.789579143667399955e-03 2.826167320039880337e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.789052608364405057e-03 2.789052608364405057e-03 0.000000000000000000e+00 2.789052608364405057e-03 2.826433980059820783e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.788526220973673760e-03 2.788526220973673760e-03 0.000000000000000000e+00 2.788526220973673760e-03 2.826700640079760660e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.787999981429939260e-03 2.787999981429939260e-03 0.000000000000000000e+00 2.787999981429939260e-03 2.826967300099701106e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.787473889667857127e-03 2.787473889667857127e-03 0.000000000000000000e+00 2.787473889667857127e-03 2.827233960119640983e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.786947945621996627e-03 2.786947945621996627e-03 0.000000000000000000e+00 2.786947945621996627e-03 2.827500620139581429e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.786422149226852000e-03 2.786422149226852000e-03 0.000000000000000000e+00 2.786422149226852000e-03 2.827767280159521306e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.785896500416824677e-03 2.785896500416824677e-03 0.000000000000000000e+00 2.785896500416824677e-03 2.828033940179461752e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.785370999126238027e-03 2.785370999126238027e-03 0.000000000000000000e+00 2.785370999126238027e-03 2.828300600199401629e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.784845645289320010e-03 2.784845645289320010e-03 0.000000000000000000e+00 2.784845645289320010e-03 2.828567260219342074e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.784320438840216187e-03 2.784320438840216187e-03 0.000000000000000000e+00 2.784320438840216187e-03 2.828833920239281952e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.783795379712975838e-03 2.783795379712975838e-03 0.000000000000000000e+00 2.783795379712975838e-03 2.829100580259222397e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.783270467841557176e-03 2.783270467841557176e-03 0.000000000000000000e+00 2.783270467841557176e-03 2.829367240279162274e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.782745703159824301e-03 2.782745703159824301e-03 0.000000000000000000e+00 2.782745703159824301e-03 2.829633900299102720e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.782221085601541133e-03 2.782221085601541133e-03 0.000000000000000000e+00 2.782221085601541133e-03 2.829900560319043166e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.781696615100379220e-03 2.781696615100379220e-03 0.000000000000000000e+00 2.781696615100379220e-03 2.830167220338983043e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.781172291589903423e-03 2.781172291589903423e-03 0.000000000000000000e+00 2.781172291589903423e-03 2.830433880358923489e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.780648115003580591e-03 2.780648115003580591e-03 0.000000000000000000e+00 2.780648115003580591e-03 2.830700540378863366e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.780124085274768286e-03 2.780124085274768286e-03 0.000000000000000000e+00 2.780124085274768286e-03 2.830967200398803811e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.779600202336723891e-03 2.779600202336723891e-03 0.000000000000000000e+00 2.779600202336723891e-03 2.831233860418743689e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.779076466122590294e-03 2.779076466122590294e-03 0.000000000000000000e+00 2.779076466122590294e-03 2.831500520438684134e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.778552876565404568e-03 2.778552876565404568e-03 0.000000000000000000e+00 2.778552876565404568e-03 2.831767180458624011e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.778029433598087124e-03 2.778029433598087124e-03 0.000000000000000000e+00 2.778029433598087124e-03 2.832033840478564457e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.777506137153445617e-03 2.777506137153445617e-03 0.000000000000000000e+00 2.777506137153445617e-03 2.832300500498504334e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.776982987164168873e-03 2.776982987164168873e-03 0.000000000000000000e+00 2.776982987164168873e-03 2.832567160518444780e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.776459983562829924e-03 2.776459983562829924e-03 0.000000000000000000e+00 2.776459983562829924e-03 2.832833820538384657e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.775937126281875604e-03 2.775937126281875604e-03 0.000000000000000000e+00 2.775937126281875604e-03 2.833100480558325103e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.775414415253630012e-03 2.775414415253630012e-03 0.000000000000000000e+00 2.775414415253630012e-03 2.833367140578264980e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.774891850410292349e-03 2.774891850410292349e-03 0.000000000000000000e+00 2.774891850410292349e-03 2.833633800598205426e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.774369431683931277e-03 2.774369431683931277e-03 0.000000000000000000e+00 2.774369431683931277e-03 2.833900460618145303e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.773847159006484053e-03 2.773847159006484053e-03 0.000000000000000000e+00 2.773847159006484053e-03 2.834167120638085748e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.773325032309753493e-03 2.773325032309753493e-03 0.000000000000000000e+00 2.773325032309753493e-03 2.834433780658026194e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.772803051525409273e-03 2.772803051525409273e-03 0.000000000000000000e+00 2.772803051525409273e-03 2.834700440677966071e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.772281216584975786e-03 2.772281216584975786e-03 0.000000000000000000e+00 2.772281216584975786e-03 2.834967100697906517e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.771759527419842117e-03 2.771759527419842117e-03 0.000000000000000000e+00 2.771759527419842117e-03 2.835233760717846394e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.771237983961245994e-03 2.771237983961245994e-03 0.000000000000000000e+00 2.771237983961245994e-03 2.835500420737786840e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.770716586140285070e-03 2.770716586140285070e-03 0.000000000000000000e+00 2.770716586140285070e-03 2.835767080757726717e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.770195333887899569e-03 2.770195333887899569e-03 0.000000000000000000e+00 2.770195333887899569e-03 2.836033740777667163e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.769674227134882264e-03 2.769674227134882264e-03 0.000000000000000000e+00 2.769674227134882264e-03 2.836300400797607040e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.769153265811864599e-03 2.769153265811864599e-03 0.000000000000000000e+00 2.769153265811864599e-03 2.836567060817547485e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.768632449849323628e-03 2.768632449849323628e-03 0.000000000000000000e+00 2.768632449849323628e-03 2.836833720837487363e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.768111779177571605e-03 2.768111779177571605e-03 0.000000000000000000e+00 2.768111779177571605e-03 2.837100380857427808e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.767591253726755119e-03 2.767591253726755119e-03 0.000000000000000000e+00 2.767591253726755119e-03 2.837367040877367685e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.767070873426852925e-03 2.767070873426852925e-03 0.000000000000000000e+00 2.767070873426852925e-03 2.837633700897308131e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.766550638207673340e-03 2.766550638207673340e-03 0.000000000000000000e+00 2.766550638207673340e-03 2.837900360917248008e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.766030547998846005e-03 2.766030547998846005e-03 0.000000000000000000e+00 2.766030547998846005e-03 2.838167020937188454e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.765510602729823620e-03 2.765510602729823620e-03 0.000000000000000000e+00 2.765510602729823620e-03 2.838433680957128900e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.764990802329880641e-03 2.764990802329880641e-03 0.000000000000000000e+00 2.764990802329880641e-03 2.838700340977068777e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.764471146728097670e-03 2.764471146728097670e-03 0.000000000000000000e+00 2.764471146728097670e-03 2.838967000997009222e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.763951635853374462e-03 2.763951635853374462e-03 0.000000000000000000e+00 2.763951635853374462e-03 2.839233661016949100e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.763432269634410413e-03 2.763432269634410413e-03 0.000000000000000000e+00 2.763432269634410413e-03 2.839500321036889545e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.762913047999715835e-03 2.762913047999715835e-03 0.000000000000000000e+00 2.762913047999715835e-03 2.839766981056829422e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.762393970877592003e-03 2.762393970877592003e-03 0.000000000000000000e+00 2.762393970877592003e-03 2.840033641076769868e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.761875038196144605e-03 2.761875038196144605e-03 0.000000000000000000e+00 2.761875038196144605e-03 2.840300301096709745e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.761356249883262920e-03 2.761356249883262920e-03 0.000000000000000000e+00 2.761356249883262920e-03 2.840566961116650191e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.760837605866629796e-03 2.760837605866629796e-03 0.000000000000000000e+00 2.760837605866629796e-03 2.840833621136590068e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.760319106073706470e-03 2.760319106073706470e-03 0.000000000000000000e+00 2.760319106073706470e-03 2.841100281156530514e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.759800750431737337e-03 2.759800750431737337e-03 0.000000000000000000e+00 2.759800750431737337e-03 2.841366941176470391e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.759282538867738679e-03 2.759282538867738679e-03 0.000000000000000000e+00 2.759282538867738679e-03 2.841633601196410837e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.758764471308496925e-03 2.758764471308496925e-03 0.000000000000000000e+00 2.758764471308496925e-03 2.841900261216350714e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.758246547680566051e-03 2.758246547680566051e-03 0.000000000000000000e+00 2.758246547680566051e-03 2.842166921236291159e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.757728767910261076e-03 2.757728767910261076e-03 0.000000000000000000e+00 2.757728767910261076e-03 2.842433581256231037e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.757211131923649385e-03 2.757211131923649385e-03 0.000000000000000000e+00 2.757211131923649385e-03 2.842700241276171482e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.756693639646552469e-03 2.756693639646552469e-03 0.000000000000000000e+00 2.756693639646552469e-03 2.842966901296111928e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.756176291004542016e-03 2.756176291004542016e-03 0.000000000000000000e+00 2.756176291004542016e-03 2.843233561316051805e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.755659085922925172e-03 2.755659085922925172e-03 0.000000000000000000e+00 2.755659085922925172e-03 2.843500221335992251e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.755142024326747135e-03 2.755142024326747135e-03 0.000000000000000000e+00 2.755142024326747135e-03 2.843766881355932128e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.754625106140785092e-03 2.754625106140785092e-03 0.000000000000000000e+00 2.754625106140785092e-03 2.844033541375872574e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.754108331289543445e-03 2.754108331289543445e-03 0.000000000000000000e+00 2.754108331289543445e-03 2.844300201395812451e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.753591699697239929e-03 2.753591699697239929e-03 0.000000000000000000e+00 2.753591699697239929e-03 2.844566861415752896e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.753075211287815596e-03 2.753075211287815596e-03 0.000000000000000000e+00 2.753075211287815596e-03 2.844833521435692774e+02
