beta_para beta_perp delta_para delta_perp delta beta energy
8.970362110082095e-05 8.970362110082095e-05 0.0004500915673242725 0.00043720797038551 0.00044150250269843087 8.970362110082095e-05 670.0
8.970110787032639e-05 8.970135531136072e-05 0.00045006519794793374 0.00043717581697447943 0.0004414722772989642 8.970127283101595e-05 670.01
8.969859474990622e-05 8.969908961720286e-05 0.0004500397828505681 0.00043714472053067455 0.00044144307463730574 8.969892466143731e-05 670.02
8.969608173955398e-05 8.969682401834187e-05 0.0004500147222753274 0.0004371140049508415 0.0004414142440590035 8.969657659207925e-05 670.03
8.969356883926318e-05 8.96946021523832e-05 0.0004499898713392273 0.0004370835497938257 0.0004413856569756263 8.969425771467652e-05 670.04
8.96911382540069e-05 8.969238356155128e-05 0.00044996522838280646 0.0004370533211971407 0.0004413572902590293 8.969196845903648e-05 670.05
8.968862557136584e-05 8.9690118245848e-05 0.00044994075755033205 0.00043702324803366135 0.0004413290845392182 8.968962068768728e-05 670.06
8.968611299876678e-05 8.968785302541965e-05 0.0004499163759601309 0.00043699327957514314 0.000441300978370139 8.968727301653536e-05 670.07
8.968360053620334e-05 8.968558790026083e-05 0.0004498920836508003 0.00043696340779763535 0.00044127296641535696 8.968492544557501e-05 670.08
8.968108818366894e-05 8.968332287036593e-05 0.0004498678679831987 0.0004369336186392823 0.0004412450350872544 8.968257797480028e-05 670.09
8.967857594115713e-05 8.968105793572955e-05 0.0004498437022023272 0.0004369038904052331 0.00044121716100426443 8.96802306042054e-05 670.1
8.967614599892076e-05 8.967883990671676e-05 0.0004498196375367324 0.0004368742386443883 0.00044118937160850296 8.967794193745142e-05 670.11
8.967363397398158e-05 8.967661878837622e-05 0.0004497956673586185 0.00043684468730720435 0.0004411616806576757 8.967562385024468e-05 670.12
8.967112205904564e-05 8.967435413678317e-05 0.0004497717266491208 0.00043681519632860963 0.00044113403976878 8.967327677753732e-05 670.13
8.966861025410637e-05 8.967208958042669e-05 0.0004497478261520308 0.00043678573785334827 0.0004411064339529091 8.967092980498657e-05 670.14
8.966609855915734e-05 8.966982511930127e-05 0.0004497239466356497 0.0004367563076665931 0.00044107885398961196 8.966858293258662e-05 670.15
8.966366915218758e-05 8.966760755678738e-05 0.00044970014428061283 0.0004367269357509684 0.00044105133859418316 8.966629475525412e-05 670.16
8.966115767474705e-05 8.966534328471088e-05 0.0004496764161247269 0.00043669760948749096 0.0004410238783665696 8.966394808138961e-05 670.17
8.965864630727739e-05 8.966312272723015e-05 0.00044965269999411246 0.0004366683224384755 0.00044099644829035447 8.96616305872459e-05 670.18
8.965613504977202e-05 8.96608586442757e-05 0.00044962900888570077 0.00043663907189463614 0.0004409690508916577 8.965928411277446e-05 670.19
8.965362390222455e-05 8.96586414543243e-05 0.0004496053253971535 0.00043660985878088714 0.00044094168098630926 8.965696893695771e-05 670.2
8.965119503036297e-05 8.965637756037527e-05 0.0004495817072005147 0.00043658068986559845 0.00044091436231057053 8.965465005037116e-05 670.21
8.964868410025991e-05 8.965411376161901e-05 0.0004495581525771976 0.0004365515283647708 0.0004408870697689131 8.965230387449931e-05 670.22
8.964617328009533e-05 8.965185005804999e-05 0.0004495346003968723 0.00043652236335683367 0.0004408597757035132 8.964995779873177e-05 670.23
8.964366256986277e-05 8.964967685344831e-05 0.00044951106450866424 0.0004364932589602148 0.0004408325274763646 8.964767209225314e-05 670.24
8.96411519695558e-05 8.964741333753978e-05 0.00044948752819419556 0.00043646421254632235 0.0004408053177622801 8.964532621487846e-05 670.25
8.9638723632644e-05 8.964514991680213e-05 0.0004494640495911347 0.0004364351474232713 0.0004407781148125591 8.964300782208275e-05 670.26
8.963621324971726e-05 8.964293337925501e-05 0.00044944062708400046 0.0004364061135635652 0.0004407509514037103 8.964069333607576e-05 670.27
8.963370297669671e-05 8.964067014744658e-05 0.00044941719847843055 0.00043637710154621095 0.0004407238005236175 8.963834775719663e-05 670.28
8.963119281357584e-05 8.963845061585836e-05 0.0004493937628145785 0.0004363480985021585 0.0004406966532729652 8.963603134843084e-05 670.29
8.962876490401968e-05 8.963623435688945e-05 0.0004493703803482367 0.00043631914664497617 0.00044066955787939636 8.96337445392662e-05 670.3
8.962625495822788e-05 8.963397140783109e-05 0.0004493470507247216 0.000436290213347966 0.00044064249247355124 8.963139925796334e-05 670.31
8.962374512231642e-05 8.963170855391081e-05 0.0004493237137999165 0.00043626126246735104 0.00044061541291153954 8.962905407671269e-05 670.32
8.962123539627883e-05 8.962949257477285e-05 0.00044930038419345957 0.00043623232821852695 0.0004405883468768378 8.962674018194151e-05 670.33
8.961872578010864e-05 8.962727350827769e-05 0.0004492770458395721 0.0004362034412219677 0.00044056130942783585 8.962442426555468e-05 670.34
8.961629840521746e-05 8.962501093704239e-05 0.0004492537574126508 0.0004361745570621538 0.00044053429051231946 8.962210675976741e-05 670.35
8.961378900631225e-05 8.962279523638619e-05 0.00044923051776776573 0.00043614568570528897 0.0004405072963927813 8.961979315969488e-05 670.36
8.961127971725509e-05 8.962053285398243e-05 0.00044920726511603164 0.0004361168262060121 0.00044048030584268525 8.961744847507331e-05 670.37
8.960877053803952e-05 8.961831416004235e-05 0.000449183998790347 0.00043608796654611435 0.0004404533106275252 8.961513295270808e-05 670.38
8.960634359027636e-05 8.96160987378197e-05 0.00044916077917248786 0.00043605914823269883 0.00044042635854596186 8.961284702197191e-05 670.39
8.960383462827456e-05 8.961383663801968e-05 0.0004491376057179536 0.0004360303291168028 0.0004403994213171864 8.961050263477132e-05 670.4
8.9601325776095e-05 8.961162140179454e-05 0.00044911441695127057 0.00043600150759772545 0.0004403724773822405 8.960818952656136e-05 670.41
8.959881703373123e-05 8.96094030789284e-05 0.0004490912123995108 0.0004359727154116693 0.0004403455477409498 8.960587439719601e-05 670.42
8.959639051299504e-05 8.960718802737902e-05 0.0004490680525769595 0.0004359439528785659 0.00044031865277803045 8.96035888559177e-05 670.43
8.959388198779384e-05 8.960492630381159e-05 0.00044904493704691614 0.00043591519604824127 0.00044029177638113293 8.9601244865139e-05 670.44
8.95913735723891e-05 8.960266467531137e-05 0.000449021804426351 0.00043588640181778414 0.0004402648693539731 8.959890097433728e-05 670.45
8.95888652667743e-05 8.960049348633923e-05 0.0004489986543070049 0.00043585764453717835 0.0004402379811271205 8.959661741315092e-05 670.46
8.958643917296413e-05 8.959823204526203e-05 0.00044897554723880175 0.0004358289146332011 0.00044021112550173463 8.959430108782939e-05 670.47
8.95839310844608e-05 8.959601745795658e-05 0.0004489524827978014 0.00043580017814895893 0.00044018427969857304 8.959198866679131e-05 670.48
8.958142310572809e-05 8.959375620558087e-05 0.0004489293995690872 0.0004357714341443437 0.0004401574226192582 8.958964517229661e-05 670.49
8.957891523675954e-05 8.959158538193242e-05 0.0004489062969969196 0.00043574271407702253 0.00044013057505032155 8.958736200020814e-05 670.5
8.957648956977437e-05 8.958932431693665e-05 0.00044888323518654143 0.0004357140165176645 0.00044010375607395676 8.958504606788256e-05 670.51
8.957398191786611e-05 8.958711010011224e-05 0.0004488602121672972 0.00043568530041291644 0.0004400769376643767 8.958273403936352e-05 670.52
8.957147437570273e-05 8.958489279763124e-05 0.0004488371513148299 0.00043565660566333267 0.00044005012088049847 8.958041999032173e-05 670.53
8.956904902815791e-05 8.958267876536553e-05 0.00044881412861079976 0.0004356279323406718 0.0004400233310973811 8.957813551962965e-05 670.54
8.956654170301653e-05 8.958041807636483e-05 0.00044879114535932335 0.0004355992468440238 0.00043999654634912366 8.957579261858208e-05 670.55
8.95640344876007e-05 8.957820422993616e-05 0.0004487681407544266 0.00043557053972697777 0.0004399697400694607 8.957348098249101e-05 670.56
8.956152738190387e-05 8.957603404437908e-05 0.0004487451145339707 0.00043554188521104163 0.000439942961652018 8.957119849022067e-05 670.57
8.95591024610075e-05 8.957377363629616e-05 0.00044872212696833735 0.0004355132394655226 0.0004399162019664609 8.956888324453326e-05 670.58
8.955659557228159e-05 8.957156006658638e-05 0.00044869917620974086 0.00043548457047741 0.0004398894390548536 8.956657190181813e-05 670.59
8.955408879325547e-05 8.956934341184625e-05 0.0004486761857400705 0.00043545591898521574 0.0004398626745701673 8.956425853898265e-05 670.6
8.955166419166729e-05 8.956713002662086e-05 0.0004486532315935175 0.0004354272845484005 0.00043983593356343946 8.9561974748303e-05 670.61
8.954915762957375e-05 8.956486999438224e-05 0.00044863031512430094 0.00043539862549795197 0.00043980918870673496 8.955963253944607e-05 670.62
8.95466511771607e-05 8.956270035578173e-05 0.0004486073755714677 0.00043536997267862136 0.00043978244030957016 8.955735062957473e-05 670.63
8.954414483442166e-05 8.956048724719577e-05 0.00044858441268293126 0.0004353413679163517 0.00043975571617187816 8.955503977627105e-05 670.64
8.954172065930541e-05 8.955822749576216e-05 0.00044856148669341137 0.00043531272694872277 0.0004397289801969523 8.955272521694325e-05 670.65
8.953921453344789e-05 8.955605812987211e-05 0.00044853859567451406 0.00043528408961720946 0.0004397022583029777 8.95504435977307e-05 670.66
8.953670851724504e-05 8.955384529787789e-05 0.0004485156629225134 0.00043525549878294535 0.00043967555349613466 8.954813303766695e-05 670.67
8.953428466130488e-05 8.955158582720104e-05 0.000448492763941115 0.0004352268705230546 0.0004396488349957414 8.954581877190233e-05 670.68
8.953177886194527e-05 8.954941673397423e-05 0.0004484698984133547 0.00043519824478906416 0.00043962212933049437 8.954353744329791e-05 670.69
8.95292731722211e-05 8.954720417852409e-05 0.00044844699014808534 0.0004351696644203328 0.000439595439662917 8.954122717642309e-05 670.7
8.952684963540044e-05 8.954494498855579e-05 0.0004484241148621047 0.00043514104529362085 0.00043956873514978213 8.953891320417067e-05 670.71
8.952434416248129e-05 8.954277616794515e-05 0.0004484012723539434 0.0004351124265389708 0.0004395420418106283 8.953663216612386e-05 670.72
8.952183879917828e-05 8.95405638889915e-05 0.0004483783865088154 0.0004350838429042907 0.00043951535743913224 8.95343221923871e-05 670.73
8.95194155814206e-05 8.953834852625951e-05 0.00044835553308229944 0.0004350552508440951 0.0004394886782568299 8.953203754464655e-05 670.74
8.951691043488434e-05 8.953613643164191e-05 0.00044833271190553253 0.00043502665823276 0.0004394620094570175 8.952972776605605e-05 670.75
8.951440539794495e-05 8.953392442913704e-05 0.00044830984689430987 0.00043499806848417756 0.0004394353279542217 8.952741808540634e-05 670.76
8.951198249919369e-05 8.953170934312208e-05 0.0004482870138155609 0.0004349694782998975 0.0004394086568051186 8.952513372847928e-05 670.77
8.950947767898283e-05 8.95294975249215e-05 0.0004482642125138928 0.00043494088640676166 0.0004393819951091387 8.952282424294195e-05 670.78
8.950697296834956e-05 8.952728579881782e-05 0.0004482413669217122 0.0004349122863467901 0.0004393553132050975 8.95205148553284e-05 670.79
8.950455038854822e-05 8.952511770359198e-05 0.00044821855280496664 0.00043488371707810626 0.0004393286623203931 8.951826193191074e-05 670.8
8.950204589460527e-05 8.952285944764105e-05 0.00044819577000968587 0.00043485513524385696 0.0004393020134991333 8.951592159662913e-05 670.81
8.949954151022057e-05 8.952069153408103e-05 0.0004481729424708516 0.0004348265402019614 0.00043927534095825814 8.951364152612753e-05 670.82
8.949711924931265e-05 8.951848017510864e-05 0.0004481501459349353 0.000434797973490196 0.0004392486976384424 8.951135986650998e-05 670.83
8.94946150815801e-05 8.951626890820673e-05 0.0004481273802226035 0.0004347693863586601 0.00043922205097997455 8.950905096599785e-05 670.84
8.949211102338657e-05 8.951410126566645e-05 0.0004481045692267485 0.0004347408268005775 0.0004391954076093012 8.95067711849065e-05 670.85
8.948968908131559e-05 8.951184347582772e-05 0.0004480817885929397 0.00043471225232810667 0.00043916876441638434 8.950445867765702e-05 670.86
8.948718523973596e-05 8.950967601490108e-05 0.00044805903794393744 0.00043468366184076107 0.00043914212054181986 8.950217908984603e-05 670.87
8.94846815076761e-05 8.950746511502523e-05 0.0004480362406974885 0.0004346550889417866 0.0004391154728603539 8.949987057924219e-05 670.88
8.948225988438553e-05 8.950529783429906e-05 0.00044801347090701036 0.0004346265255147599 0.00043908884064551004 8.949761851766122e-05 670.89
8.94797563689014e-05 8.950308711720858e-05 0.0004479907129611244 0.0004345979883397552 0.00043906222988021154 8.949531020110617e-05 670.9
8.947733495728497e-05 8.950082979334884e-05 0.0004479679667101614 0.0004345694036299465 0.0004390355913233515 8.949299818132755e-05 670.91
8.947483165835116e-05 8.949866278492542e-05 0.0004479452474578177 0.00043454081053894816 0.00043900895617857133 8.949071907606733e-05 670.92
8.947232846890507e-05 8.949645234401454e-05 0.0004479224808327937 0.00043451223381612615 0.0004389823161550153 8.948841105231138e-05 670.93
8.946990737597504e-05 8.94942855157397e-05 0.0004478997430237891 0.000434483662221428 0.00043895568915554837 8.948615946915148e-05 670.94
8.946740440304109e-05 8.949207525756174e-05 0.0004478770338981082 0.00043445509397435904 0.0004389290739489421 8.948385163938819e-05 670.95
8.946490153957557e-05 8.948990860941489e-05 0.0004478542770107643 0.0004344265285890482 0.00043890244472962023 8.948157291946845e-05 670.96
8.94624807652756e-05 8.948769853394899e-05 0.0004478315464488286 0.0004343979664013024 0.00043887582641714444 8.947929261105788e-05 670.97
8.945997811828402e-05 8.948553206590939e-05 0.0004478088266027367 0.00043436940946075717 0.0004388492151747503 8.94770140833676e-05 670.98
8.945755755555822e-05 8.948332217313464e-05 0.00044778611725721385 0.0004343408759918852 0.0004388226230803281 8.947473396727584e-05 670.99
8.945505512501526e-05 8.948106568606965e-05 0.00044776343352931054 0.00043431229274728286 0.00043879600634129205 8.947239549905153e-05 671.0
8.945255280390872e-05 8.947889949019225e-05 0.00044774070058573446 0.00043428369908602295 0.00043876936625259345 8.947011726143107e-05 671.01
8.945013255971896e-05 8.947668987345492e-05 0.000447717992998703 0.0004342551198169535 0.00043874274421087 8.946783743554294e-05 671.02
8.944763045502285e-05 8.947452385763298e-05 0.0004476952953708426 0.0004342265436574794 0.00043871612756193385 8.946555939009627e-05 671.03
8.94452104223448e-05 8.947231442353438e-05 0.00044767260759196993 0.0004341979686527127 0.00043868951496579844 8.94632797564712e-05 671.04
8.944270853403379e-05 8.947014858774724e-05 0.0004476499448339214 0.0004341693939300881 0.00043866291089803255 8.94610019031761e-05 671.05
8.944020675512714e-05 8.946793933626654e-05 0.00044762723230537364 0.00043414081895574 0.00043863629007228456 8.945869514255342e-05 671.06
8.94377870408912e-05 8.94657736804935e-05 0.00044760454458080763 0.00043411224332795214 0.00043860967707890397 8.945644480062608e-05 671.07
8.943528547833147e-05 8.946356461160978e-05 0.00044758186626269776 0.0004340836666927156 0.0004385830665493763 8.945413823385035e-05 671.08
8.943286597554487e-05 8.946139913583027e-05 0.0004475591972211571 0.00043405508868518336 0.0004385564581971746 8.945188808240179e-05 671.09
8.943036462930676e-05 8.945919024952268e-05 0.0004475365525793944 0.0004340265088632984 0.0004385298567686638 8.94495817094507e-05 671.1
8.942786339244097e-05 8.945702495371604e-05 0.0004475138574624962 0.0004339979265604151 0.0004385032368611088 8.944730443329101e-05 671.11
8.942544420800266e-05 8.945481624996364e-05 0.0004474911862332107 0.00043396934035016144 0.00043847662231117783 8.944502556930998e-05 671.12
8.942294318742032e-05 8.945265113410925e-05 0.00044746852300917787 0.0004339407411139273 0.0004384500017456775 8.944274848521294e-05 671.13
8.942052421436893e-05 8.945048610757511e-05 0.00044744586606648744 0.00043391216680359356 0.00043842339989122486 8.944049880983972e-05 671.14
8.941802341004473e-05 8.94482776769684e-05 0.0004474232152880651 0.0004338835675838439 0.000438396783485251 8.943819292132718e-05 671.15
8.941560464835533e-05 8.94461594943753e-05 0.0004474005721551385 0.00043385498508352084 0.00043837018077406005 8.943597454570198e-05 671.16
8.94131040602639e-05 8.944395124488122e-05 0.0004473779522790516 0.00043382642006988903 0.00043834359747294325 8.943366885000878e-05 671.17
