beta_para	beta_perp	delta_para	delta_perp	delta	beta	energy
7.106536695165173e-07	7.106536695165173e-07	3.926710661720599e-05	3.903608605132706e-05	3.911309290662003e-05	7.106536695165172e-07	2457.0
7.10653444941464e-07	7.10658473185783e-07	3.926650558580991e-05	3.903535572394395e-05	3.911240567789927e-05	7.106567971043432e-07	2457.01
7.106532203465237e-07	7.106658397678833e-07	3.926590925897213e-05	3.903463329177271e-05	3.9111725280839176e-05	7.106616332940968e-07	2457.02
7.10652995731696e-07	7.106706432127952e-07	3.9265314501394855e-05	3.903391423455052e-05	3.911104765683197e-05	7.106647607190954e-07	2457.03
7.106527710969823e-07	7.106752784506557e-07	3.926472048800708e-05	3.903319504834861e-05	3.911037019490143e-05	7.106677759994311e-07	2457.04
7.106525464423825e-07	7.106826446454473e-07	3.9264125703758426e-05	3.903247756197272e-05	3.9109693609234624e-05	7.106726119110923e-07	2457.05
7.10657881657894e-07	7.106874477656452e-07	3.926353394403479e-05	3.903176107834218e-05	3.910901870023972e-05	7.106775923963948e-07	2457.06
7.106576569182676e-07	7.106948136943772e-07	3.926294508452525e-05	3.903104489193686e-05	3.9108344956132986e-05	7.106824281023407e-07	2457.07
7.106574321587577e-07	7.107021794796526e-07	3.926235505412168e-05	3.903033174685238e-05	3.910767284927548e-05	7.10687263706021e-07	2457.08
7.10657207379364e-07	7.107042512859106e-07	3.92617649853805e-05	3.902961719186404e-05	3.910699978970286e-05	7.106885699837285e-07	2457.09
7.106569825800879e-07	7.107116168273708e-07	3.926117499067796e-05	3.9028901153975226e-05	3.910632576620947e-05	7.106934054116098e-07	2457.1
7.106567577609292e-07	7.10718982225382e-07	3.9260585081491895e-05	3.902818793713564e-05	3.910565365192106e-05	7.10698240737231e-07	2457.11
7.106565329218891e-07	7.107237846739813e-07	3.925999523726312e-05	3.902747466008468e-05	3.910498151914416e-05	7.107013674232839e-07	2457.12
7.106563080629673e-07	7.107311498059629e-07	3.925940541564171e-05	3.9026762269958426e-05	3.9104309985186185e-05	7.107062025582977e-07	2457.13
7.10656083184165e-07	7.107332211743856e-07	3.925881553909678e-05	3.902604874751968e-05	3.910363767804538e-05	7.107075085109788e-07	2457.14
7.106558582854821e-07	7.107405860625753e-07	3.925822542218628e-05	3.90253335726212e-05	3.9102964189142894e-05	7.107123434702108e-07	2457.15
