beta_para	beta_perp	delta_para	delta_perp	delta	beta	energy
0.000731372	0.000731372	0.001543419	0.001543419	0.001543419	0.000731372	375.672
0.000693932	0.000693932	0.001513904	0.001513904	0.001513904	0.000693932	381.748
0.000657523	0.000657523	0.001483119	0.001483119	0.001483119	0.000657523	387.922
0.000622889	0.000622889	0.001451332	0.001451332	0.001451332	0.000622889	394.197
0.000589805	0.000589805	0.001418941	0.001418941	0.001418941	0.000589805	400.573
0.000558375	0.000558375	0.001386075	0.001386075	0.001386075	0.000558375	407.052
0.000528628	0.000528628	0.001352979	0.001352979	0.001352979	0.000528628	413.635
0.000500463	0.000500463	0.00131985	0.00131985	0.00131985	0.000500463	420.326
0.000473803	0.000473803	0.001286839	0.001286839	0.001286839	0.000473803	427.124
0.000448565	0.000448565	0.001254049	0.001254049	0.001254049	0.000448565	434.032
