beta_para	beta_perp	delta_para	delta_perp	delta	beta	energy
1.638860038543842e-06	1.638860038543842e-06	3.435998685413441e-05	3.468554232683666e-05	3.457702383593591e-05	1.6388600385438415e-06	2460.0
1.638870888934e-06	1.6388616411225553e-06	3.4359008598102727e-05	3.468468920847216e-05	3.4576129005015684e-05	1.6388647237263705e-06	2460.01
1.638873681034326e-06	1.638867347897073e-06	3.43580432059697e-05	3.46838494033636e-05	3.457524733756563e-05	1.6388694589428242e-06	2460.02
1.638884531028822e-06	1.6388689502819806e-06	3.4357082573754864e-05	3.468301533475423e-05	3.457437108108778e-05	1.6388741438642612e-06	2460.03
1.6388873228645166e-06	1.638871049466135e-06	3.435612489544758e-05	3.468218278787672e-05	3.457349682373367e-05	1.6388764739322622e-06	2460.04
1.638898172463365e-06	1.6388726516865728e-06	3.4355169288386924e-05	3.4681351777616804e-05	3.457262428120685e-05	1.63888115861217e-06	2460.05
1.6389009640344408e-06	1.6388742538267996e-06	3.435421520773745e-05	3.4680520786982e-05	3.457175226056715e-05	1.6388831572293463e-06	2460.06
1.6389118132376572e-06	1.638879959996005e-06	3.4353262246758734e-05	3.4679693238336e-05	3.457088290781024e-05	1.6388905777432222e-06	2460.07
1.638914604544124e-06	1.638877954729926e-06	3.435230997461192e-05	3.467886543137265e-05	3.457001361245241e-05	1.6388901713346588e-06	2460.08
1.6389254533517232e-06	1.6388836606679455e-06	3.435135664604621e-05	3.4678037085044544e-05	3.456914360537843e-05	1.6388975915625382e-06	2460.09
1.6389363019287667e-06	1.638885262449937e-06	3.435040944213133e-05	3.467721064386452e-05	3.4568276909953455e-05	1.6389022756095467e-06	2460.1
1.6389390928055917e-06	1.6388909681274545e-06	3.434946091490664e-05	3.467638531285961e-05	3.456741051354196e-05	1.6389070096868334e-06	2460.11
1.638949940987041e-06	1.638892569715678e-06	3.434851252168305e-05	3.467556166922789e-05	3.4566545286712946e-05	1.638911693472799e-06	2460.12
1.6389527315992886e-06	1.6388946680668095e-06	3.4347564356862304e-05	3.467473702121707e-05	3.4565679466432146e-05	1.638914022577636e-06	2460.13
1.6389635793851586e-06	1.638896269490598e-06	3.4346616398776e-05	3.4673911304214746e-05	3.4564813002401833e-05	1.6389187061221182e-06	2460.14
1.6389663697328402e-06	1.6389019746764666e-06	3.43456685873905e-05	3.467308707734521e-05	3.456394758069364e-05	1.638923439695258e-06	2460.15
1.6389772171231469e-06	1.6389035759065049e-06	3.434472082212743e-05	3.4672263619919815e-05	3.456308268732236e-05	1.6389281229787189e-06	2460.16
1.6389800072062744e-06	1.6389092808319025e-06	3.4343772880002944e-05	3.467144156149319e-05	3.4562218667663104e-05	1.638932856290027e-06	2460.17
1.638990854201032e-06	1.6389072749489196e-06	3.4342823163479285e-05	3.467061824877584e-05	3.456135322034366e-05	1.638935134699624e-06	2460.18
1.6390017009652704e-06	1.6389129796431795e-06	3.434187896121114e-05	3.4669793645380524e-05	3.45604887506574e-05	1.6389425534172097e-06	2460.19
1.6390044906188413e-06	1.6389145805150634e-06	3.4340932905203805e-05	3.466897033009559e-05	3.455962452179833e-05	1.638944550549656e-06	2460.2
1.639015336987554e-06	1.6389202849488717e-06	3.433998650902587e-05	3.466814759351319e-05	3.4558760565350754e-05	1.6389519689617656e-06	2460.21
1.639018126376601e-06	1.6389218856270303e-06	3.433903989917389e-05	3.466732606494677e-05	3.4557897343022474e-05	1.6389539658768871e-06	2460.22
1.6390289723498028e-06	1.6389239830277278e-06	3.433809304742608e-05	3.466650306850689e-05	3.4557033061479953e-05	1.6389589794684194e-06	2460.23
1.6390317614743385e-06	1.638925583541491e-06	3.4337145769399034e-05	3.466567847553455e-05	3.455616757348938e-05	1.6389609761857734e-06	2460.24
1.6390426070520444e-06	1.6389312874837488e-06	3.433619649065367e-05	3.466485405514615e-05	3.455530153364865e-05	1.638968394006514e-06	2460.25
1.6390534523992615e-06	1.638936991279116e-06	3.433525251035471e-05	3.466403275488433e-05	3.455443934004112e-05	1.638975811652498e-06	2460.26
1.6390562410943051e-06	1.6389385914856413e-06	3.433430645716175e-05	3.466321075347643e-05	3.45535759880382e-05	1.6389778080218626e-06	2460.27
1.63906708604605e-06	1.6389442950205934e-06	3.4333359808909946e-05	3.466238889776256e-05	3.455271253481169e-05	1.6389852253624123e-06	2460.28
1.6390698744766122e-06	1.6389458950334242e-06	3.433241254508542e-05	3.4661568028148524e-05	3.455184953379416e-05	1.6389872215144868e-06	2460.29
1.6390807190328991e-06	1.638947991740537e-06	3.433146314532219e-05	3.466074557248825e-05	3.45509847634329e-05	1.6389922341713244e-06	2460.3
1.6390915633587192e-06	1.6389495915889993e-06	3.4330518933855974e-05	3.4659921531489526e-05	3.455012066561168e-05	1.6389969155122394e-06	2460.31
1.6390943513598364e-06	1.6389552946324716e-06	3.43295725537876e-05	3.4659098489030247e-05	3.454925651061603e-05	1.6390016468749263e-06	2460.32
1.639105195290222e-06	1.6389568942872562e-06	3.432862549193278e-05	3.465827567412436e-05	3.45483922800605e-05	1.6390063279549116e-06	2460.33
1.6391079830268882e-06	1.638962597070344e-06	3.43276777335348e-05	3.465745300633094e-05	3.454752791539889e-05	1.6390110590558587e-06	2460.34
1.6391188265618543e-06	1.63896419653146e-06	3.43267277619618e-05	3.465663054391417e-05	3.4546662949930044e-05	1.639015739874925e-06	2460.35
1.6391296698663735e-06	1.6389698990541742e-06	3.432578290263746e-05	3.4655809035567475e-05	3.45458003245908e-05	1.639023155991574e-06	2460.36
1.6391324571736437e-06	1.6389678919594126e-06	3.432483579823241e-05	3.465498587543572e-05	3.454493584970129e-05	1.6390227470308228e-06	2460.37
1.6391433000827668e-06	1.6389735942510792e-06	3.432388793139139e-05	3.4654161041930514e-05	3.4544070005084134e-05	1.6390301628616418e-06	2460.38
1.639146087125615e-06	1.6389751933541987e-06	3.432293927756344e-05	3.46533370922183e-05	3.454320448733334e-05	1.6390321579446708e-06	2460.39
1.6391569296393577e-06	1.638980895385511e-06	3.432198829853644e-05	3.4652513207029146e-05	3.454233823753158e-05	1.6390395734701266e-06	2460.4
1.6391677719226749e-06	1.6389824942949876e-06	3.4321042267012494e-05	3.4651689178189585e-05	3.454147354113056e-05	1.6390442535042167e-06	2460.41
1.6391705585361734e-06	1.6389881960659572e-06	3.432009366006962e-05	3.465086417190627e-05	3.4540607334627384e-05	1.6390489835560293e-06	2460.42
1.639181400424133e-06	1.6389938976900842e-06	3.4319142442256166e-05	3.465004190965113e-05	3.4539742087186144e-05	1.6390563986014338e-06	2460.43
1.639192242081679e-06	1.638995496292436e-06	3.431819604601412e-05	3.464921867977935e-05	3.45388778018576e-05	1.639061078222184e-06	2460.44
1.639195028265858e-06	1.639001197656236e-06	3.4317246999011376e-05	3.464839536896048e-05	3.4538012578977445e-05	1.639065807859443e-06	2460.45
1.6392058695280697e-06	1.6390027960649673e-06	3.431629528773898e-05	3.464757283430056e-05	3.45371469854467e-05	1.6390704872193346e-06	2460.46
1.6392167105598824e-06	1.6390048910993715e-06	3.4315348355702384e-05	3.4646748507516595e-05	3.4536281790245193e-05	1.6390754975862085e-06	2460.47
1.6392194963147688e-06	1.6390064893438029e-06	3.431439873745586e-05	3.464592237925277e-05	3.45354144986538e-05	1.6390774916674578e-06	2460.48
1.63923033695127e-06	1.6390121902162918e-06	3.431344642348617e-05	3.464509699842238e-05	3.453454680677698e-05	1.6390849057946178e-06	2460.49
1.6392411773573836e-06	1.639013788267119e-06	3.4312498859889195e-05	3.464427148726114e-05	3.453368061147049e-05	1.6390895846305405e-06	2460.5
1.6392439626830077e-06	1.6390194888793105e-06	3.431154858298226e-05	3.464344493564405e-05	3.453281281809012e-05	1.6390943134805429e-06	2460.51
1.6392548026938336e-06	1.6390251893446845e-06	3.4310595584286745e-05	3.4642621026118075e-05	3.453194587884096e-05	1.6391017271277342e-06	2460.52
1.639265642474285e-06	1.6390267870884486e-06	3.4309647309939875e-05	3.464179599784703e-05	3.4531079768544646e-05	1.639106405550394e-06	2460.53
1.6392684273706756e-06	1.6390324872935423e-06	3.43086962960583e-05	3.4640970620198195e-05	3.453021251215156e-05	1.63911113398592e-06	2460.54
1.6392792667558622e-06	1.6390340848437256e-06	3.4307742532772474e-05	3.464014495972099e-05	3.4529344150738155e-05	1.6391158121477711e-06	2460.55
1.6392901059106889e-06	1.639039784788549e-06	3.4306793463400974e-05	3.463931900600452e-05	3.452847715847e-05	1.6391232251625956e-06	2460.56
1.6392928903778736e-06	1.6390413821451595e-06	3.430584161906995e-05	3.463849267048703e-05	3.452760898668134e-05	1.6391252182227312e-06	2460.57
1.639303729137458e-06	1.6390470818297235e-06	3.430488698040142e-05	3.463766515814112e-05	3.4526739098894555e-05	1.6391326309323015e-06	2460.58
1.6393145676666938e-06	1.6390527813674885e-06	3.430393697056264e-05	3.4636840194831174e-05	3.452587245340833e-05	1.6391400434672234e-06	2460.59
1.6393173517047031e-06	1.6390543784170854e-06	3.4302984073098973e-05	3.463601404133787e-05	3.4525004051924905e-05	1.639142036179625e-06	2460.6
1.639328189838721e-06	1.6390600776946069e-06	3.430202811210856e-05	3.4635187478911366e-05	3.452413435664376e-05	1.6391494484093116e-06	2460.61
1.6393390277424031e-06	1.6390616745506534e-06	3.430107501333945e-05	3.463436058128351e-05	3.452326539196882e-05	1.63915412561457e-06	2460.62
1.639349865415754e-06	1.6390673735679418e-06	3.430012476594605e-05	3.4633533342165e-05	3.4522397150092014e-05	1.6391615375172123e-06	2460.63
1.6393526488597527e-06	1.6390689702304472e-06	3.4299171421811545e-05	3.4632705675006544e-05	3.452152759060821e-05	1.639163529773549e-06	2460.64
1.639363486137917e-06	1.639074668987513e-06	3.4298215129701816e-05	3.463187678460125e-05	3.452065623296811e-05	1.639170941370981e-06	2460.65
1.639374323185763e-06	1.639080367597801e-06	3.429726336731196e-05	3.463105039334499e-05	3.451978805133398e-05	1.6391783527937884e-06	2460.66
1.639377106200653e-06	1.6390819639533394e-06	3.4296308642686724e-05	3.463022275318726e-05	3.451891804968708e-05	1.639180344702444e-06	2460.67
1.6393879428533362e-06	1.6390876623034208e-06	3.429535079241751e-05	3.4629394621400434e-05	3.4518046678406126e-05	1.6391877558200592e-06	2460.68
1.6393987792757133e-06	1.63908925846544e-06	3.429439574859597e-05	3.462856599186702e-05	3.451717591077667e-05	1.6391924320688646e-06	2460.69
1.6394096154677894e-06	1.6390949565553254e-06	3.429344350403222e-05	3.4627736094441205e-05	3.451630523097155e-05	1.63919984285948e-06	2460.7
1.6394123978887623e-06	1.6391006544984464e-06	3.429248811226391e-05	3.462690866210887e-05	3.451543514549388e-05	1.6392045689618849e-06	2460.71
1.639423233685707e-06	1.6391022503535344e-06	3.429152972153222e-05	3.462607995232191e-05	3.4514563208725346e-05	1.639209244797592e-06	2460.72
1.6394340692523626e-06	1.6391079480364749e-06	3.42905758065687e-05	3.462525072542592e-05	3.451369241914018e-05	1.6392166551084374e-06	2460.73
1.6394368512442965e-06	1.6391095436980662e-06	3.428961887065655e-05	3.462442097700494e-05	3.451282027488881e-05	1.6392186462134762e-06	2460.74
1.639447686415844e-06	1.6391152411208375e-06	3.428865874096836e-05	3.462358993800605e-05	3.451194620566015e-05	1.6392260562191731e-06	2460.75
1.6394585213571162e-06	1.6391209383968587e-06	3.428770133240712e-05	3.46227613416801e-05	3.451107467192244e-05	1.639233466050278e-06	2460.76
1.639469356068118e-06	1.6391225337515533e-06	3.428674660508814e-05	3.462193144575896e-05	3.451020316553535e-05	1.6392381411904082e-06	2460.77
1.6394721374662264e-06	1.6391282307674206e-06	3.4285788540363846e-05	3.4621101010081314e-05	3.450933018684215e-05	1.6392428663336892e-06	2460.78
1.6394829717821514e-06	1.6391298259286407e-06	3.4284827074457416e-05	3.462027002951606e-05	3.450845571116318e-05	1.639247541213144e-06	2460.79
1.6394938058678177e-06	1.6391355226843651e-06	3.4283868014487195e-05	3.4619437733535984e-05	3.450758116051972e-05	1.6392549504121823e-06	2460.8
1.6395046397232314e-06	1.6391412192933546e-06	3.428290984474452e-05	3.461860785316713e-05	3.450670851702626e-05	1.639262359436647e-06	2460.81
1.6395154733483953e-06	1.6391428141477115e-06	3.428195406296326e-05	3.46177766427941e-05	3.450583578285048e-05	1.639267033881273e-06	2460.82
1.6395182539879356e-06	1.639148510496574e-06	3.428099484292999e-05	3.4616944857027886e-05	3.4504961518995256e-05	1.6392717583270275e-06	2460.83
1.639529087218063e-06	1.6391501051574794e-06	3.4280032225545587e-05	3.4616112481697955e-05	3.4504085729647164e-05	1.6392764325110071e-06	2460.84
1.6395399202179544e-06	1.6391558012462253e-06	3.427907219891086e-05	3.461527873024525e-05	3.450320988646712e-05	1.6392838409034684e-06	2460.85
1.6395507529876138e-06	1.6391614971882487e-06	3.427811475623357e-05	3.461444729890197e-05	3.450233645134584e-05	1.6392912491213703e-06	2460.86
1.6395535330334502e-06	1.6391630915423272e-06	3.427715389605271e-05	3.461361434444552e-05	3.450146086164791e-05	1.639293238706035e-06	2460.87
1.6395643654081044e-06	1.63916878722425e-06	3.427618956292923e-05	3.461277982013755e-05	3.450058306773478e-05	1.6393006466188682e-06	2460.88
1.63957519755254e-06	1.6391744827594608e-06	3.427522756652503e-05	3.461194742723073e-05	3.449970747366216e-05	1.639308054357154e-06	2460.89
1.6395860294667609e-06	1.6391760768067317e-06	3.4274266389249646e-05	3.4611112666003044e-05	3.4498830573751913e-05	1.639312727693408e-06	2460.9
1.6395968611507728e-06	1.6391853768615534e-06	3.4273307520471234e-05	3.461027888272404e-05	3.449795509530644e-05	1.639322538291293e-06	2460.91
1.6395996404381942e-06	1.6391869706861122e-06	3.4272345114237975e-05	3.4609446068805686e-05	3.449707908394978e-05	1.6393245272701394e-06	2460.92
1.6396104717272402e-06	1.6391926656718683e-06	3.427137916172401e-05	3.4608610859994794e-05	3.449620029390453e-05	1.6393319343569923e-06	2460.93
1.6396213027860893e-06	1.639198360510926e-06	3.4270415490097584e-05	3.4607777734803184e-05	3.4495323653234646e-05	1.639339341269314e-06	2460.94
