beta_para	beta_perp	delta_para	delta_perp	delta	beta	energy
5.685229356132139e-07	5.685229356132139e-07	3.139202819870726e-05	3.1238994758437496e-05	3.1290005905194086e-05	5.685229356132138e-07	2457.0
5.685230233888548e-07	5.685263845364174e-07	3.1391545937999335e-05	3.123841239677264e-05	3.128945691051487e-05	5.685252641538966e-07	2457.01
5.685231111442324e-07	5.685320449518607e-07	3.139106764594557e-05	3.123783601106541e-05	3.1288913222692124e-05	5.685290670159845e-07	2457.02
5.685231988793463e-07	5.685357502577961e-07	3.139059079271787e-05	3.123726175296617e-05	3.12883714328834e-05	5.685315664649796e-07	2457.03
5.685232865941978e-07	5.68541410467185e-07	3.139011484041306e-05	3.1236688336101914e-05	3.1287830504205636e-05	5.685353691761893e-07	2457.04
5.685233742887865e-07	5.685470705655925e-07	3.13896395334675e-05	3.123611682149194e-05	3.1287291058817124e-05	5.685391718066572e-07	2457.05
5.685234619631137e-07	5.685527305530212e-07	3.138916472124315e-05	3.1235547438786036e-05	3.128675319960508e-05	5.685429743563855e-07	2457.06
5.685235496171795e-07	5.685542240173881e-07	3.138869030411887e-05	3.123497700569328e-05	3.128621477183514e-05	5.685439992173187e-07	2457.07
5.685236372509847e-07	5.685598838167794e-07	3.13882162112503e-05	3.123440545548525e-05	3.1285675707406934e-05	5.685478016281811e-07	2457.08
5.685237248645291e-07	5.685655435051974e-07	3.138774238958424e-05	3.123383612108773e-05	3.128513821058657e-05	5.685516039583079e-07	2457.09
5.68523812457814e-07	5.685692481955122e-07	3.1387268797892076e-05	3.1233266679295214e-05	3.1284600718827506e-05	5.685541029496129e-07	2457.1
5.685239000308393e-07	5.685749076779032e-07	3.138679540316037e-05	3.1232697078863445e-05	3.128406318696242e-05	5.685579051288819e-07	2457.11
5.685239875836058e-07	5.68580567049328e-07	3.1386322178388616e-05	3.1232129536779695e-05	3.1283527083982666e-05	5.685617072274206e-07	2457.12
5.685240751161138e-07	5.685820601011772e-07	3.13858491009772e-05	3.123156060227678e-05	3.128299010184359e-05	5.685627317728228e-07	2457.13
5.685241626283641e-07	5.685877192845861e-07	3.13853761518384e-05	3.1230990200951e-05	3.1282452184580134e-05	5.685665337325122e-07	2457.14
5.685242501203567e-07	5.685933783570343e-07	3.138490331450526e-05	3.123042133073002e-05	3.128191532532177e-05	5.685703356114751e-07	2457.15
