beta_para	beta_perp	delta_para	delta_perp	delta	beta	energy
7.999215012671236e-05	7.999215012671236e-05	0.00031467018931448	0.0003157991278508	0.00031542281500536	7.999215012671236e-05	661.5
7.998951550087569e-05	7.998951731789369e-05	0.00031464507924496005	0.00031577453076392	0.00031539804692424004	7.998951671222103e-05	661.5111330207598
7.9986881007082e-05	7.998688444989635e-05	0.00031462095395744	0.00031575091484264	0.00031537426121424	7.99868833022916e-05	661.5222660415195
7.998424664532252e-05	7.998426654149508e-05	0.000314597196284	0.00031572767196576	0.00031535084673848	7.998425990943756e-05	661.5333990622793
7.998161241558796e-05	7.998163399578116e-05	0.0003145736755788	0.00031570466680872	0.00031532766973208003	7.998162680238343e-05	661.544532083039
7.997897803331674e-05	7.997901643804799e-05	0.00031455033503896004	0.000315681833284	0.00031530466720232006	7.99790036364709e-05	661.5556651037988
7.997631549582713e-05	7.997639883447358e-05	0.00031452711691696005	0.00031565914732040005	0.00031528180385256003	7.997637105492478e-05	661.5667981245585
7.997368166308702e-05	7.997376677184014e-05	0.00031450399640688	0.00031563657054880004	0.0003152590458348	7.997373840225579e-05	661.5779311453183
7.997104796233672e-05	7.997114937160833e-05	0.00031448097564112	0.00031561408769592006	0.00031523638367760004	7.997111556851778e-05	661.5890641660781
7.996841439356745e-05	7.99685176311508e-05	0.00031445803405728004	0.00031559168514528	0.00031521380144928	7.996848321862302e-05	661.6001971868378
7.996578095677035e-05	7.996590043423433e-05	0.000314435158384	0.00031556935119304006	0.00031519128692336	7.9965860608413e-05	661.6113302075976
7.996314765193654e-05	7.996326901590953e-05	0.00031441233560184	0.00031554707448584003	0.00031516882819112	7.996322856125188e-05	661.6224632283573
7.996051447905722e-05	7.996065237582677e-05	0.00031438953932624	0.00031552483306288004	0.00031514640181728006	7.996060641023693e-05	661.6335962491171
7.99579474922251e-05	7.995808071272525e-05	0.00031436678705936	0.00031550265511432005	0.00031512403242936	7.995803630589187e-05	661.6447292698768
7.995540129716023e-05	7.995548648052035e-05	0.00031434411181208003	0.00031548053357344	0.00031510172631968005	7.995545808606697e-05	661.6558622906366
7.995285522823773e-05	7.995292220622634e-05	0.00031432149972440005	0.00031545845487712003	0.00031507946982624	7.995289988023013e-05	661.6669953113964
