beta_para	beta_perp	delta_para	delta_perp	delta	beta	energy
1.3110880308350737e-06	1.3110880308350737e-06	2.7447842327084558e-05	2.7762208626498858e-05	2.7657419860027425e-05	1.3110880308350733e-06	2460.0
1.3110966595742848e-06	1.3110895158669626e-06	2.744703379671083e-05	2.776152748554057e-05	2.7656696255930654e-05	1.3110918971027368e-06	2460.01
1.3111052881298636e-06	1.311094033254934e-06	2.7446238226435277e-05	2.7760856997416383e-05	2.7655984073756014e-05	1.3110977848799104e-06	2460.02
1.3111139165018131e-06	1.311095518127219e-06	2.74454490802558e-05	2.776019112935272e-05	2.7655277112987076e-05	1.3111016509187503e-06	2460.03
1.311116115538113e-06	1.3110970029320312e-06	2.7444660146329528e-05	2.7759526390262748e-05	2.7654570975618338e-05	1.3111033738007251e-06	2460.04
1.3111247435950827e-06	1.3110984804564402e-06	2.7443870835019785e-05	2.7758862717461815e-05	2.7653865423314474e-05	1.3111072348359879e-06	2460.05
1.3111333714684347e-06	1.3110999651263703e-06	2.7443086693414496e-05	2.775819916842916e-05	2.7653161676757605e-05	1.311111100573725e-06	2460.06
1.3111355701629493e-06	1.3111044820291246e-06	2.744230145954626e-05	2.7757537676629154e-05	2.7652458937601523e-05	1.3111148447403992e-06	2460.07
1.3111441977213394e-06	1.3111059665394667e-06	2.7441514799979752e-05	2.7756877987674507e-05	2.7651756925109586e-05	1.3111187102667573e-06	2460.08
1.311152825096121e-06	1.3111074509823437e-06	2.7440731293779593e-05	2.7756217146427917e-05	2.765105519554514e-05	1.3111225756869362e-06	2460.09
1.311161452287298e-06	1.3111119675840952e-06	2.7439950804314834e-05	2.775555787108469e-05	2.765035551549474e-05	1.3111284624851626e-06	2460.1
1.3111636505087137e-06	1.3111134518673954e-06	2.7439168455125547e-05	2.775490015465385e-05	2.764965625481108e-05	1.3111301847478346e-06	2460.11
1.311172277384955e-06	1.3111149288707143e-06	2.743838416573846e-05	2.7754241744442395e-05	2.7648955884874418e-05	1.3111340450421278e-06	2460.12
1.3111809040776007e-06	1.3111164130191543e-06	2.743760264700408e-05	2.7753583144443924e-05	2.7648256311963973e-05	1.3111379100386363e-06	2460.13
1.311189530586656e-06	1.3111178971001367e-06	2.743682385560143e-05	2.7752923717317823e-05	2.764755709674569e-05	1.3111417749289763e-06	2460.14
1.3111917283350154e-06	1.3111224132167487e-06	2.7436043005871365e-05	2.7752265525631784e-05	2.7646858019044976e-05	1.311145518256171e-06	2460.15
1.31120035452916e-06	1.3111238971381716e-06	2.7435260177931267e-05	2.775160787061949e-05	2.7646158639723414e-05	1.3111493829351678e-06	2460.16
1.3112089805397233e-06	1.3111284130459283e-06	2.7434481299714353e-05	2.7750950658680886e-05	2.764546087235871e-05	1.3111552688771932e-06	2460.17
1.311211177946384e-06	1.3111298968077989e-06	2.743370034358386e-05	2.7750293936010176e-05	2.7644762738534738e-05	1.3111569905206602e-06	2460.18
1.3112198036420554e-06	1.3111344125067086e-06	2.743291710865111e-05	2.7749638382920902e-05	2.7644064624830967e-05	1.311162876218491e-06	2460.19
1.3112284291541563e-06	1.311132856917141e-06	2.743213616948934e-05	2.7748982375583342e-05	2.7643366973552006e-05	1.3111647143294795e-06	2460.2
1.3112370544826895e-06	1.3111343404767263e-06	2.743135627970931e-05	2.7748323129602956e-05	2.764266751297174e-05	1.3111685784787144e-06	2460.21
