beta_para	beta_perp	delta_para	delta_perp	delta	beta	energy
1.3110880308e-06	1.3110880308e-06	2.7657419860000004e-05	2.7657419860000004e-05	2.7657419860000004e-05	1.3110880308e-06	2460.0
1.31109189704e-06	1.31109189704e-06	2.7656696255920002e-05	2.7656696255920002e-05	2.7656696255920002e-05	1.31109189704e-06	2460.01
1.31109778488e-06	1.31109778488e-06	2.765598407368e-05	2.765598407368e-05	2.765598407368e-05	1.31109778488e-06	2460.02
1.3111016508800002e-06	1.3111016508800002e-06	2.7655277112960002e-05	2.7655277112960002e-05	2.7655277112960002e-05	1.3111016508800002e-06	2460.03
1.31110337376e-06	1.31110337376e-06	2.76545709756e-05	2.76545709756e-05	2.76545709756e-05	1.31110337376e-06	2460.04
1.3111072348000002e-06	1.3111072348000002e-06	2.765386542328e-05	2.765386542328e-05	2.765386542328e-05	1.3111072348000002e-06	2460.05
1.31111110056e-06	1.31111110056e-06	2.765316167672e-05	2.765316167672e-05	2.765316167672e-05	1.31111110056e-06	2460.06
1.3111148447200001e-06	1.3111148447200001e-06	2.76524589376e-05	2.76524589376e-05	2.76524589376e-05	1.3111148447200001e-06	2460.07
1.3111187102400002e-06	1.3111187102400002e-06	2.7651756925040004e-05	2.7651756925040004e-05	2.7651756925040004e-05	1.3111187102400002e-06	2460.08
1.31112257568e-06	1.31112257568e-06	2.7651055195520002e-05	2.7651055195520002e-05	2.7651055195520002e-05	1.31112257568e-06	2460.09
1.3111284624800002e-06	1.3111284624800002e-06	2.7650355515439998e-05	2.7650355515439998e-05	2.7650355515439998e-05	1.3111284624800002e-06	2460.1
1.31113018472e-06	1.31113018472e-06	2.76496562548e-05	2.76496562548e-05	2.76496562548e-05	1.31113018472e-06	2460.11
1.31113404504e-06	1.31113404504e-06	2.76489558848e-05	2.76489558848e-05	2.76489558848e-05	1.31113404504e-06	2460.12
1.3111379100000001e-06	1.3111379100000001e-06	2.7648256311920002e-05	2.7648256311920002e-05	2.7648256311920002e-05	1.3111379100000001e-06	2460.13
1.31114177488e-06	1.31114177488e-06	2.764755709672e-05	2.764755709672e-05	2.764755709672e-05	1.31114177488e-06	2460.14
1.3111455182400002e-06	1.3111455182400002e-06	2.764685801904e-05	2.764685801904e-05	2.764685801904e-05	1.3111455182400002e-06	2460.15
1.3111493828800001e-06	1.3111493828800001e-06	2.7646158639680005e-05	2.7646158639680005e-05	2.7646158639680005e-05	1.3111493828800001e-06	2460.16
1.3111552688e-06	1.3111552688e-06	2.7645460872320003e-05	2.7645460872320003e-05	2.7645460872320003e-05	1.3111552688e-06	2460.17
1.3111569904800001e-06	1.3111569904800001e-06	2.7644762738480003e-05	2.7644762738480003e-05	2.7644762738480003e-05	1.3111569904800001e-06	2460.18
1.3111628761600001e-06	1.3111628761600001e-06	2.7644064624800003e-05	2.7644064624800003e-05	2.7644064624800003e-05	1.3111628761600001e-06	2460.19
1.31116471432e-06	1.31116471432e-06	2.7643366973520002e-05	2.7643366973520002e-05	2.7643366973520002e-05	1.31116471432e-06	2460.2
1.3111685784e-06	1.3111685784e-06	2.764266751296e-05	2.764266751296e-05	2.764266751296e-05	1.3111685784e-06	2460.21
1.31117446376e-06	1.31117446376e-06	2.764196990736e-05	2.764196990736e-05	2.764196990736e-05	1.31117446376e-06	2460.22
1.31117618496e-06	1.31117618496e-06	2.7641271758720004e-05	2.7641271758720004e-05	2.7641271758720004e-05	1.31117618496e-06	2460.23
1.3111820700800002e-06	1.3111820700800002e-06	2.76405729552e-05	2.76405729552e-05	2.76405729552e-05	1.3111820700800002e-06	2460.24
1.3111859337600003e-06	1.3111859337600003e-06	2.763987504136e-05	2.763987504136e-05	2.763987504136e-05	1.3111859337600003e-06	2460.25
1.31119181856e-06	1.31119181856e-06	2.763917799376e-05	2.763917799376e-05	2.763917799376e-05	1.31119181856e-06	2460.26
1.3111935394400002e-06	1.3111935394400002e-06	2.7638480215120004e-05	2.7638480215120004e-05	2.7638480215120004e-05	1.3111935394400002e-06	2460.27
1.311199424e-06	1.311199424e-06	2.76377817348e-05	2.76377817348e-05	2.76377817348e-05	1.311199424e-06	2460.28
1.31120328728e-06	1.31120328728e-06	2.763708452184e-05	2.763708452184e-05	2.763708452184e-05	1.31120328728e-06	2460.29
1.3112071456e-06	1.3112071456e-06	2.76363867092e-05	2.76363867092e-05	2.76363867092e-05	1.3112071456e-06	2460.3
1.3112110087200002e-06	1.3112110087200002e-06	2.7635688682080004e-05	2.7635688682080004e-05	2.7635688682080004e-05	1.3112110087200002e-06	2460.31
1.31121475016e-06	1.31121475016e-06	2.7634990325760003e-05	2.7634990325760003e-05	2.7634990325760003e-05	1.31121475016e-06	2460.32
1.3112186130400002e-06	1.3112186130400002e-06	2.7634291191040003e-05	2.7634291191040003e-05	2.7634291191040003e-05	1.3112186130400002e-06	2460.33
1.31122449688e-06	1.31122449688e-06	2.763359275904e-05	2.763359275904e-05	2.763359275904e-05	1.31122449688e-06	2460.34
1.31122835952e-06	1.31122835952e-06	2.7632894598240002e-05	2.7632894598240002e-05	2.7632894598240002e-05	1.31122835952e-06	2460.35
1.3112342430400001e-06	1.3112342430400001e-06	2.763219708864e-05	2.763219708864e-05	2.763219708864e-05	1.3112342430400001e-06	2460.36
1.31123596296e-06	1.31123596296e-06	2.7631498663440002e-05	2.7631498663440002e-05	2.7631498663440002e-05	1.31123596296e-06	2460.37
1.3112418463200002e-06	1.3112418463200002e-06	2.763079931112e-05	2.763079931112e-05	2.763079931112e-05	1.3112418463200002e-06	2460.38
1.31124570848e-06	1.31124570848e-06	2.763010057184e-05	2.763010057184e-05	2.763010057184e-05	1.31124570848e-06	2460.39
1.3112515915200002e-06	1.3112515915200002e-06	2.76294020172e-05	2.76294020172e-05	2.76294020172e-05	1.3112515915200002e-06	2460.4
1.31125545344e-06	1.31125545344e-06	2.7628703699840004e-05	2.7628703699840004e-05	2.7628703699840004e-05	1.31125545344e-06	2460.41
1.31126133624e-06	1.31126133624e-06	2.762800649e-05	2.762800649e-05	2.762800649e-05	1.31126133624e-06	2460.42
1.31126102984e-06	1.31126102984e-06	2.762730738712e-05	2.762730738712e-05	2.762730738712e-05	1.31126102984e-06	2460.43
1.3112669124800001e-06	1.3112669124800001e-06	2.762660638384e-05	2.762660638384e-05	2.762660638384e-05	1.3112669124800001e-06	2460.44
1.3112707740000001e-06	1.3112707740000001e-06	2.76259064652e-05	2.76259064652e-05	2.76259064652e-05	1.3112707740000001e-06	2460.45
1.3112766563200002e-06	1.3112766563200002e-06	2.76252067452e-05	2.76252067452e-05	2.76252067452e-05	1.3112766563200002e-06	2460.46
