beta_para	beta_perp	delta_para	delta_perp	delta	beta	energy
7.999215012664e-05	7.999215012664e-05	0.0003156683977788	0.0003156683977788	0.0003156683977788	7.999215012664e-05	661.5
7.998951759944e-05	7.998951759944e-05	0.0003156436790052	0.0003156436790052	0.0003156436790052	7.998951759944e-05	661.5111262768838
7.998688488624001e-05	7.998688488624001e-05	0.0003156199401172	0.0003156199401172	0.0003156199401172	7.998688488624001e-05	661.5222525537678
7.998426219680001e-05	7.998426219680001e-05	0.0003155965681256	0.0003155965681256	0.0003155965681256	7.998426219680001e-05	661.5333788306516
7.998163969440001e-05	7.998163969440001e-05	0.00031557343627392	0.00031557343627392	0.00031557343627392	7.998163969440001e-05	661.5445051075353
7.997901719952001e-05	7.997901719952001e-05	0.00031555048129896005	0.00031555048129896005	0.00031555048129896005	7.997901719952001e-05	661.5556313844194
7.99763849884e-05	7.99763849884e-05	0.0003155276599996	0.0003155276599996	0.0003155276599996	7.99763849884e-05	661.5667576613032
7.997375334304001e-05	7.997375334304001e-05	0.00031550494008272004	0.00031550494008272004	0.00031550494008272004	7.997375334304001e-05	661.5778839381873
7.997113120176e-05	7.997113120176e-05	0.00031548231119696003	0.00031548231119696003	0.00031548231119696003	7.997113120176e-05	661.589010215071
7.996849938720001e-05	7.996849938720001e-05	0.00031545975516064005	0.00031545975516064005	0.00031545975516064005	7.996849938720001e-05	661.6001364919548
7.99658683072e-05	7.99658683072e-05	0.00031543723246408	0.00031543723246408	0.00031543723246408	7.99658683072e-05	661.6112627688387
7.996331864920001e-05	7.996331864920001e-05	0.00031541477425328	0.00031541477425328	0.00031541477425328	7.996331864920001e-05	661.6223890457226
7.99607553664e-05	7.99607553664e-05	0.00031539239144872	0.00031539239144872	0.00031539239144872	7.99607553664e-05	661.6335153226064
7.995823323168e-05	7.995823323168e-05	0.00031537006275048003	0.00031537006275048003	0.00031537006275048003	7.995823323168e-05	661.6446415994905
7.995573101320001e-05	7.995573101320001e-05	0.00031534780845336003	0.00031534780845336003	0.00031534780845336003	7.995573101320001e-05	661.6557678763742
7.995323265016e-05	7.995323265016e-05	0.0003153256227856	0.0003153256227856	0.0003153256227856	7.995323265016e-05	661.666894153258
7.995073075528001e-05	7.995073075528001e-05	0.0003153034903556	0.0003153034903556	0.0003153034903556	7.995073075528001e-05	661.6780204301419
7.99482434048e-05	7.99482434048e-05	0.00031528141298792006	0.00031528141298792006	0.00031528141298792006	7.99482434048e-05	661.6891467070258
7.994573908536e-05	7.994573908536e-05	0.00031525938184232	0.00031525938184232	0.00031525938184232	7.994573908536e-05	661.7002729839096
7.994325294088001e-05	7.994325294088001e-05	0.00031523739410976	0.00031523739410976	0.00031523739410976	7.994325294088001e-05	661.7113992607937
7.994075235368e-05	7.994075235368e-05	0.00031521545431096004	0.00031521545431096004	0.00031521545431096004	7.994075235368e-05	661.7225255376774
7.993823911088001e-05	7.993823911088001e-05	0.00031519353508784	0.00031519353508784	0.00031519353508784	7.993823911088001e-05	661.7336518145613
7.993576050704e-05	7.993576050704e-05	0.00031517165155408	0.00031517165155408	0.00031517165155408	7.993576050704e-05	661.7447780914451
7.993326701616e-05	7.993326701616e-05	0.00031514981668288	0.00031514981668288	0.00031514981668288	7.993326701616e-05	661.755904368329
7.993076402088001e-05	7.993076402088001e-05	0.00031512800815464	0.00031512800815464	0.00031512800815464	7.993076402088001e-05	661.7670306452129
7.992826449216e-05	7.992826449216e-05	0.00031510622355248	0.00031510622355248	0.00031510622355248	7.992826449216e-05	661.7781569220969
7.992576553328e-05	7.992576553328e-05	0.0003150844628636	0.0003150844628636	0.0003150844628636	7.992576553328e-05	661.7892831989806
7.992328010952001e-05	7.992328010952001e-05	0.00031506273366856	0.00031506273366856	0.00031506273366856	7.992328010952001e-05	661.8004094758645
7.992078244792001e-05	7.992078244792001e-05	0.00031504103313504	0.00031504103313504	0.00031504103313504	7.992078244792001e-05	661.8115357527483
7.991829474312e-05	7.991829474312e-05	0.00031501935885552005	0.00031501935885552005	0.00031501935885552005	7.991829474312e-05	661.8226620296322
7.991579425776e-05	7.991579425776e-05	0.00031499771245104	0.00031499771245104	0.00031499771245104	7.991579425776e-05	661.8337883065161
7.991328332384001e-05	7.991328332384001e-05	0.00031497607222448005	0.00031497607222448005	0.00031497607222448005	7.991328332384001e-05	661.8449145834
7.991080369888e-05	7.991080369888e-05	0.00031495445085672	0.00031495445085672	0.00031495445085672	7.991080369888e-05	661.8560408602839
7.990832267336e-05	7.990832267336e-05	0.00031493286888800004	0.00031493286888800004	0.00031493286888800004	7.990832267336e-05	661.8671671371677
7.990582351048e-05	7.990582351048e-05	0.00031491130910320003	0.00031491130910320003	0.00031491130910320003	7.990582351048e-05	661.8782934140515
7.99033212816e-05	7.99033212816e-05	0.000314889755102	0.000314889755102	0.000314889755102	7.99033212816e-05	661.8894196909355
7.990084221568e-05	7.990084221568e-05	0.00031486822582552	0.00031486822582552	0.00031486822582552	7.990084221568e-05	661.9005459678193
7.989833625632e-05	7.989833625632e-05	0.00031484671511248	0.00031484671511248	0.00031484671511248	7.989833625632e-05	661.9116722447033
7.98958515228e-05	7.98958515228e-05	0.00031482521567592	0.00031482521567592	0.00031482521567592	7.98958515228e-05	661.9227985215871
7.989336095936e-05	7.989336095936e-05	0.00031480374084584	0.00031480374084584	0.00031480374084584	7.989336095936e-05	661.9339247984709
7.989086641784e-05	7.989086641784e-05	0.00031478227992024003	0.00031478227992024003	0.00031478227992024003	7.989086641784e-05	661.9450510753547
7.988837548656e-05	7.988837548656e-05	0.00031476083277544005	0.00031476083277544005	0.00031476083277544005	7.988837548656e-05	661.9561773522387
7.98858854248e-05	7.98858854248e-05	0.00031473940238824	0.00031473940238824	0.00031473940238824	7.98858854248e-05	661.9673036291225
7.988339178408e-05	7.988339178408e-05	0.00031471798228344003	0.00031471798228344003	0.00031471798228344003	7.988339178408e-05	661.9784299060065
7.988091692696e-05	7.988091692696e-05	0.00031469658407	0.00031469658407	0.00031469658407	7.988091692696e-05	661.9895561828903
7.987842077480001e-05	7.987842077480001e-05	0.00031467520748296	0.00031467520748296	0.00031467520748296	7.987842077480001e-05	662.0006824597741
7.98759199336e-05	7.98759199336e-05	0.00031465383115616	0.00031465383115616	0.00031465383115616	7.98759199336e-05	662.011808736658
7.987343614424001e-05	7.987343614424001e-05	0.00031463246534544	0.00031463246534544	0.00031463246534544	7.987343614424001e-05	662.0229350135419
7.987095365728e-05	7.987095365728e-05	0.00031461112516584	0.00031461112516584	0.00031461112516584	7.987095365728e-05	662.0340612904257
7.986844545200001e-05	7.986844545200001e-05	0.00031458978628056	0.00031458978628056	0.00031458978628056	7.986844545200001e-05	662.0451875673097
7.986597316616e-05	7.986597316616e-05	0.00031456845478384	0.00031456845478384	0.00031456845478384	7.986597316616e-05	662.0563138441935
7.986349236064e-05	7.986349236064e-05	0.00031454715324696	0.00031454715324696	0.00031454715324696	7.986349236064e-05	662.0674401210773
7.9860993492e-05	7.9860993492e-05	0.00031452585686776003	0.00031452585686776003	0.00031452585686776003	7.9860993492e-05	662.0785663979613
7.985851079232e-05	7.985851079232e-05	0.00031450456690024003	0.00031450456690024003	0.00031450456690024003	7.985851079232e-05	662.0896926748451
7.985602114904e-05	7.985602114904e-05	0.00031448328996112	0.00031448328996112	0.00031448328996112	7.985602114904e-05	662.1008189517289
7.985353988000001e-05	7.985353988000001e-05	0.00031446202480976004	0.00031446202480976004	0.00031446202480976004	7.985353988000001e-05	662.1119452286129
7.985105048608e-05	7.985105048608e-05	0.00031444077074	0.00031444077074	0.00031444077074	7.985105048608e-05	662.1230715054967
7.984857014120001e-05	7.984857014120001e-05	0.00031441952956032005	0.00031441952956032005	0.00031441952956032005	7.984857014120001e-05	662.1341977823806
7.984607282656e-05	7.984607282656e-05	0.00031439829518576	0.00031439829518576	0.00031439829518576	7.984607282656e-05	662.1453240592645
7.984359048352e-05	7.984359048352e-05	0.00031437706377696	0.00031437706377696	0.00031437706377696	7.984359048352e-05	662.1564503361483
