beta_para	beta_perp	delta_para	delta_perp	delta	beta	energy
8.527844034000001e-07	8.527844034000001e-07	4.6935711487919996e-05	4.6935711487919996e-05	4.6935711487919996e-05	8.527844034000001e-07	2457.0
8.527881565199999e-07	8.527881565199999e-07	4.693488681336e-05	4.693488681336e-05	4.693488681336e-05	8.527881565199999e-07	2457.01
8.5279395984e-07	8.5279395984e-07	4.693407033696e-05	4.693407033696e-05	4.693407033696e-05	8.5279395984e-07	2457.02
8.5279771284e-07	8.5279771284e-07	4.6933257188159996e-05	4.6933257188159996e-05	4.6933257188159996e-05	8.5279771284e-07	2457.03
8.528013310799999e-07	8.528013310799999e-07	4.693244423388e-05	4.693244423388e-05	4.693244423388e-05	8.528013310799999e-07	2457.04
8.5280713428e-07	8.5280713428e-07	4.6931632331039995e-05	4.6931632331039995e-05	4.6931632331039995e-05	8.5280713428e-07	2457.05
8.528131107599999e-07	8.528131107599999e-07	4.6930822440239996e-05	4.6930822440239996e-05	4.6930822440239996e-05	8.528131107599999e-07	2457.06
8.528189137199999e-07	8.528189137199999e-07	4.693001394732e-05	4.693001394732e-05	4.693001394732e-05	8.528189137199999e-07	2457.07
8.528247164399999e-07	8.528247164399999e-07	4.6929207419039996e-05	4.6929207419039996e-05	4.6929207419039996e-05	8.528247164399999e-07	2457.08
8.5282628388e-07	8.5282628388e-07	4.6928399747639994e-05	4.6928399747639994e-05	4.6928399747639994e-05	8.5282628388e-07	2457.09
8.5283208648e-07	8.5283208648e-07	4.692759091944e-05	4.692759091944e-05	4.692759091944e-05	8.5283208648e-07	2457.1
8.5283788884e-07	8.5283788884e-07	4.692678438228e-05	4.692678438228e-05	4.692678438228e-05	8.5283788884e-07	2457.11
8.5284164088e-07	8.5284164088e-07	4.692597782292e-05	4.692597782292e-05	4.692597782292e-05	8.5284164088e-07	2457.12
8.528474430000001e-07	8.528474430000001e-07	4.6925171982119994e-05	4.6925171982119994e-05	4.6925171982119994e-05	8.528474430000001e-07	2457.13
8.528490102e-07	8.528490102e-07	4.6924365213599997e-05	4.6924365213599997e-05	4.6924365213599997e-05	8.528490102e-07	2457.14
8.528548120799999e-07	8.528548120799999e-07	4.6923557026919996e-05	4.6923557026919996e-05	4.6923557026919996e-05	8.528548120799999e-07	2457.15
8.5286061396e-07	8.5286061396e-07	4.6922750344079997e-05	4.6922750344079997e-05	4.6922750344079997e-05	8.5286061396e-07	2457.16
8.528665892400001e-07	8.528665892400001e-07	4.692194439768e-05	4.692194439768e-05	4.692194439768e-05	8.528665892400001e-07	2457.17
8.5287239076e-07	8.5287239076e-07	4.692113952096e-05	4.692113952096e-05	4.692113952096e-05	8.5287239076e-07	2457.18
8.5287600768e-07	8.5287600768e-07	4.692033402e-05	4.692033402e-05	4.692033402e-05	8.5287600768e-07	2457.19
8.5288180908e-07	8.5288180908e-07	4.691952834672e-05	4.691952834672e-05	4.691952834672e-05	8.5288180908e-07	2457.2
8.528855601599999e-07	8.528855601599999e-07	4.691872260516e-05	4.691872260516e-05	4.691872260516e-05	8.528855601599999e-07	2457.21
8.528913613200001e-07	8.528913613200001e-07	4.6917916388520004e-05	4.6917916388520004e-05	4.6917916388520004e-05	8.528913613200001e-07	2457.22
8.528971622399999e-07	8.528971622399999e-07	4.691711159052e-05	4.691711159052e-05	4.691711159052e-05	8.528971622399999e-07	2457.23
8.5290091308e-07	8.5290091308e-07	4.69163067342e-05	4.69163067342e-05	4.69163067342e-05	8.5290091308e-07	2457.24
8.529045294e-07	8.529045294e-07	4.69155001692e-05	4.69155001692e-05	4.69155001692e-05	8.529045294e-07	2457.25
8.529103300799999e-07	8.529103300799999e-07	4.691469329712e-05	4.691469329712e-05	4.691469329712e-05	8.529103300799999e-07	2457.26
8.529163041600001e-07	8.529163041600001e-07	4.691388736128e-05	4.691388736128e-05	4.691388736128e-05	8.529163041600001e-07	2457.27
8.529221046e-07	8.529221046e-07	4.69130818584e-05	4.69130818584e-05	4.69130818584e-05	8.529221046e-07	2457.28
8.5292790492e-07	8.5292790492e-07	4.69122766944e-05	4.69122766944e-05	4.69122766944e-05	8.5292790492e-07	2457.29
8.5293370512e-07	8.5293370512e-07	4.691147278452e-05	4.691147278452e-05	4.691147278452e-05	8.5293370512e-07	2457.3
8.5293527088e-07	8.5293527088e-07	4.691066709516e-05	4.691066709516e-05	4.691066709516e-05	8.5293527088e-07	2457.31
8.5294107084e-07	8.5294107084e-07	4.6909859666999995e-05	4.6909859666999995e-05	4.6909859666999995e-05	8.5294107084e-07	2457.32
8.5294687068e-07	8.5294687068e-07	4.69090539498e-05	4.69090539498e-05	4.69090539498e-05	8.5294687068e-07	2457.33
8.5295062056e-07	8.5295062056e-07	4.690824750479999e-05	4.690824750479999e-05	4.690824750479999e-05	8.5295062056e-07	2457.34
8.5295642016e-07	8.5295642016e-07	4.690743976176e-05	4.690743976176e-05	4.690743976176e-05	8.5295642016e-07	2457.35
8.529644429999999e-07	8.529644429999999e-07	4.690663385712e-05	4.690663385712e-05	4.690663385712e-05	8.529644429999999e-07	2457.36
8.5297024236e-07	8.5297024236e-07	4.690583023812e-05	4.690583023812e-05	4.690583023812e-05	8.5297024236e-07	2457.37
8.529718075199999e-07	8.529718075199999e-07	4.690502420904e-05	4.690502420904e-05	4.690502420904e-05	8.529718075199999e-07	2457.38
8.5297760664e-07	8.5297760664e-07	4.690421623464e-05	4.690421623464e-05	4.690421623464e-05	8.5297760664e-07	2457.39
8.5298340564e-07	8.5298340564e-07	4.690340945124e-05	4.690340945124e-05	4.690340945124e-05	8.5298340564e-07	2457.4
8.529892046399999e-07	8.529892046399999e-07	4.6902603383879996e-05	4.6902603383879996e-05	4.6902603383879996e-05	8.529892046399999e-07	2457.41
8.529929536799999e-07	8.529929536799999e-07	4.6901796391679996e-05	4.6901796391679996e-05	4.6901796391679996e-05	8.529929536799999e-07	2457.42
8.5299875232e-07	8.5299875232e-07	4.6900987991879994e-05	4.6900987991879994e-05	4.6900987991879994e-05	8.5299875232e-07	2457.43
8.5300677408e-07	8.5300677408e-07	4.690018134756e-05	4.690018134756e-05	4.690018134756e-05	8.5300677408e-07	2457.44
8.5301257248e-07	8.5301257248e-07	4.6899376915559994e-05	4.6899376915559994e-05	4.6899376915559994e-05	8.5301257248e-07	2457.45
8.5301413704e-07	8.5301413704e-07	4.689856999944e-05	4.689856999944e-05	4.689856999944e-05	8.5301413704e-07	2457.46
8.530199352e-07	8.530199352e-07	4.689776105016e-05	4.689776105016e-05	4.689776105016e-05	8.530199352e-07	2457.47
8.5302573324e-07	8.5302573324e-07	4.689695315172e-05	4.689695315172e-05	4.689695315172e-05	8.5302573324e-07	2457.48
