beta_para	beta_perp	delta_para	delta_perp	delta	beta	energy
1.96663204625261e-06	1.96663204625261e-06	4.123198422496129e-05	4.162265079220399e-05	4.149242860312309e-05	1.9666320462526097e-06	2460.0
1.9666450667208e-06	1.966633969347066e-06	4.123081031772327e-05	4.162162705016659e-05	4.149135480601882e-05	1.9666376684716447e-06	2460.01
1.966648417241191e-06	1.9666408174764875e-06	4.1229651847163636e-05	4.1620619284036315e-05	4.1490296805078755e-05	1.966643350731389e-06	2460.02
1.966661437234586e-06	1.9666427403383765e-06	4.122849908850583e-05	4.161961840170508e-05	4.148924529730533e-05	1.9666489726371133e-06	2460.03
1.9666647874374197e-06	1.9666452593593617e-06	4.1227349874537095e-05	4.161861934545206e-05	4.1488196188480405e-05	1.9666517687187148e-06	2460.04
1.966677806956038e-06	1.9666471820238874e-06	4.122620314606431e-05	4.161762213314016e-05	4.148714913744822e-05	1.966657390334604e-06	2460.05
1.966681156841329e-06	1.9666491045921597e-06	4.122505824928494e-05	4.16166249443784e-05	4.148610271268058e-05	1.9666597886752157e-06	2460.06
1.9666941758851887e-06	1.966655951995206e-06	4.122391469611048e-05	4.1615631886003205e-05	4.1485059489372284e-05	1.9666686932918664e-06	2460.07
1.9666975254529487e-06	1.9666535456759112e-06	4.12227719695343e-05	4.161463851764718e-05	4.148401633494289e-05	1.9666682056015907e-06	2460.08
1.9667105440220676e-06	1.9666603928015346e-06	4.122162797525545e-05	4.1613644502053454e-05	4.1482972326454114e-05	1.9666771098750456e-06	2460.09
1.96672356231452e-06	1.966662314939924e-06	4.1220491330557594e-05	4.1612652772637424e-05	4.148193229194414e-05	1.966682730731456e-06	2460.1
1.96672691136671e-06	1.9666691617529454e-06	4.1219353097887964e-05	4.1611662375431534e-05	4.1480892616250346e-05	1.9666884116242e-06	2460.11
1.966739929184449e-06	1.9666710836588133e-06	4.121821502601966e-05	4.161067400307346e-05	4.147985434405554e-05	1.9666940321673586e-06	2460.12
1.9667432779191463e-06	1.9666736016801713e-06	4.121707722823476e-05	4.160968442546048e-05	4.1478815359718577e-05	1.9666968270931632e-06	2460.13
1.96675629526219e-06	1.966675523388718e-06	4.12159396785312e-05	4.160869356505769e-05	4.14777756028822e-05	1.9667024473465418e-06	2460.14
1.9667596436794083e-06	1.96668236961176e-06	4.12148023048686e-05	4.1607704492814254e-05	4.147673709683237e-05	1.9667081276343096e-06	2460.15
