beta_para	beta_perp	delta_para	delta_perp	delta	beta	energy
1.9666320461999997e-06	1.9666320461999997e-06	4.149242860308e-05	4.149242860308e-05	4.149242860308e-05	1.9666320461999997e-06	2460.0
1.96663766844e-06	1.96663766844e-06	4.1491354805999996e-05	4.1491354805999996e-05	4.1491354805999996e-05	1.96663766844e-06	2460.01
1.96664335068e-06	1.96664335068e-06	4.1490296805e-05	4.1490296805e-05	4.1490296805e-05	1.96664335068e-06	2460.02
1.96664897256e-06	1.96664897256e-06	4.1489245297199994e-05	4.1489245297199994e-05	4.1489245297199994e-05	1.96664897256e-06	2460.03
1.96665176868e-06	1.96665176868e-06	4.148819618844e-05	4.148819618844e-05	4.148819618844e-05	1.96665176868e-06	2460.04
1.9666573903199997e-06	1.9666573903199997e-06	4.148714913744e-05	4.148714913744e-05	4.148714913744e-05	1.9666573903199997e-06	2460.05
1.96665978864e-06	1.96665978864e-06	4.14861027126e-05	4.14861027126e-05	4.14861027126e-05	1.96665978864e-06	2460.06
1.96666869324e-06	1.96666869324e-06	4.148505948936e-05	4.148505948936e-05	4.148505948936e-05	1.96666869324e-06	2460.07
1.9666682055599997e-06	1.9666682055599997e-06	4.148401633488e-05	4.148401633488e-05	4.148401633488e-05	1.9666682055599997e-06	2460.08
1.9666771098e-06	1.9666771098e-06	4.148297232636e-05	4.148297232636e-05	4.148297232636e-05	1.9666771098e-06	2460.09
1.96668273072e-06	1.96668273072e-06	4.148193229187999e-05	4.148193229187999e-05	4.148193229187999e-05	1.96668273072e-06	2460.1
1.96668841152e-06	1.96668841152e-06	4.14808926162e-05	4.14808926162e-05	4.14808926162e-05	1.96668841152e-06	2460.11
1.96669403208e-06	1.96669403208e-06	4.147985434403999e-05	4.147985434403999e-05	4.147985434403999e-05	1.96669403208e-06	2460.12
1.966696827e-06	1.966696827e-06	4.147881535968e-05	4.147881535968e-05	4.147881535968e-05	1.966696827e-06	2460.13
1.96670244732e-06	1.96670244732e-06	4.147777560287999e-05	4.147777560287999e-05	4.147777560287999e-05	1.96670244732e-06	2460.14
1.96670812752e-06	1.96670812752e-06	4.147673709672e-05	4.147673709672e-05	4.147673709672e-05	1.96670812752e-06	2460.15
1.96671374748e-06	1.96671374748e-06	4.147569922476e-05	4.147569922476e-05	4.147569922476e-05	1.96671374748e-06	2460.16
1.9667194274399997e-06	1.9667194274399997e-06	4.1474662401119995e-05	4.1474662401119995e-05	4.1474662401119995e-05	1.9667194274399997e-06	2460.17
1.96672216164e-06	1.96672216164e-06	4.1473623864359994e-05	4.1473623864359994e-05	4.1473623864359994e-05	1.96672216164e-06	2460.18
1.96673106408e-06	1.96673106408e-06	4.147258650072e-05	4.147258650072e-05	4.147258650072e-05	1.96673106408e-06	2460.19
1.9667334606e-06	1.9667334606e-06	4.147154942604e-05	4.147154942604e-05	4.147154942604e-05	1.9667334606e-06	2460.2
1.96674236268e-06	1.96674236268e-06	4.147051267836e-05	4.147051267836e-05	4.147051267836e-05	1.96674236268e-06	2460.21
1.96674475896e-06	1.96674475896e-06	4.1469476811599995e-05	4.1469476811599995e-05	4.1469476811599995e-05	1.96674475896e-06	2460.22
1.9667507752799997e-06	1.9667507752799997e-06	4.146843967368e-05	4.146843967368e-05	4.146843967368e-05	1.9667507752799997e-06	2460.23
1.96675317132e-06	1.96675317132e-06	4.146740108808e-05	4.146740108808e-05	4.146740108808e-05	1.96675317132e-06	2460.24
1.9667620727999998e-06	1.9667620727999998e-06	4.146636184032e-05	4.146636184032e-05	4.146636184032e-05	1.9667620727999998e-06	2460.25
1.9667709739199998e-06	1.9667709739199998e-06	4.1465327208000004e-05	4.1465327208000004e-05	4.1465327208000004e-05	1.9667709739199998e-06	2460.26
1.9667733696e-06	1.9667733696e-06	4.146429118559999e-05	4.146429118559999e-05	4.146429118559999e-05	1.9667733696e-06	2460.27
1.96678227036e-06	1.96678227036e-06	4.1463255041759995e-05	4.1463255041759995e-05	4.1463255041759995e-05	1.96678227036e-06	2460.28
1.9667846658e-06	1.9667846658e-06	4.146221944044e-05	4.146221944044e-05	4.146221944044e-05	1.9667846658e-06	2460.29
1.9667906809199998e-06	1.9667906809199998e-06	4.1461181716080004e-05	4.1461181716080004e-05	4.1461181716080004e-05	1.9667906809199998e-06	2460.3
1.9667962986e-06	1.9667962986e-06	4.1460144798720004e-05	4.1460144798720004e-05	4.1460144798720004e-05	1.9667962986e-06	2460.31
1.96680197616e-06	1.96680197616e-06	4.1459107812720005e-05	4.1459107812720005e-05	4.1459107812720005e-05	1.96680197616e-06	2460.32
1.96680759348e-06	1.96680759348e-06	4.1458070736e-05	4.1458070736e-05	4.1458070736e-05	1.96680759348e-06	2460.33
1.9668132708e-06	1.9668132708e-06	4.145703349836e-05	4.145703349836e-05	4.145703349836e-05	1.9668132708e-06	2460.34
1.96681888776e-06	1.96681888776e-06	4.1455995539879994e-05	4.1455995539879994e-05	4.1455995539879994e-05	1.96681888776e-06	2460.35
1.9668277870799998e-06	1.9668277870799998e-06	4.14549603894e-05	4.14549603894e-05	4.14549603894e-05	1.9668277870799998e-06	2460.36
1.9668272963999997e-06	1.9668272963999997e-06	4.145392301964e-05	4.145392301964e-05	4.145392301964e-05	1.9668272963999997e-06	2460.37
1.96683619536e-06	1.96683619536e-06	4.1452884005999996e-05	4.1452884005999996e-05	4.1452884005999996e-05	1.96683619536e-06	2460.38
1.96683858948e-06	1.96683858948e-06	4.145184538476e-05	4.145184538476e-05	4.145184538476e-05	1.96683858948e-06	2460.39
1.96684748808e-06	1.96684748808e-06	4.1450805885e-05	4.1450805885e-05	4.1450805885e-05	1.96684748808e-06	2460.4
