theta,percentage
8.0,0.2005985964232348
9.0,0.2258454355507592
10.0,0.2509629035702596
11.0,0.2759636364726189
12.0,0.30044527937312226
13.0,0.32532243781345516
14.0,0.3494975539450306
15.0,0.37355444389068315
16.0,0.39973484922942004
17.0,0.424101286327401
18.0,0.4479076615711416
19.0,0.47364632943421936
20.0,0.5004383366428975
21.0,0.5249214894734895
22.0,0.5490860911033668
23.0,0.5737560562818181
24.0,0.5978742621800495
25.0,0.6247587156815373
26.0,0.6513996940998746
27.0,0.6790185247738582
28.0,0.7082060097316927
29.0,0.7350219175555941
30.0,0.7620216397325902
31.0,0.7911015915558008
32.0,0.8191958245225147
33.0,0.8465181060812544
34.0,0.8757285608726393
35.0,0.9052367709428528
36.0,0.9337934381189485
37.0,0.9595385006246692
38.0,0.9883554940405471
39.0,1.0172132197562678
40.0,1.0448796343068434
41.0,1.0756206508264676
42.0,1.106127107713994
43.0,1.1331078856644252
44.0,1.1556409815630724
45.0,1.1813995294794877
46.0,1.2021888899582767
47.0,1.223270525505896
48.0,1.2400830697644607
49.0,1.2559472527329465
50.0,1.2731724116803687
51.0,1.2912079783817334
52.0,1.3120875348217598
53.0,1.3298764821127331
54.0,1.345491018207699
55.0,1.363232576710139
56.0,1.3899482548325601
57.0,1.4144960278605136
58.0,1.439700946444057
59.0,1.4603741193075561
60.0,1.4887293195607554
61.0,1.5158451212819215
62.0,1.5422151267903073
63.0,1.5759868028307893
64.0,1.607818420034885
65.0,1.6362264371225739
66.0,1.666978161913317
67.0,1.7037458488704649
68.0,1.7455231796348756
69.0,1.78105758824787
70.0,1.818729287395603
71.0,1.8607492774404444
72.0,1.9037354909037316
73.0,1.9473283575910998
74.0,1.9937060195748688
75.0,2.0415405655897816
76.0,2.0885818427017546
77.0,2.137374719524943
78.0,2.1886541671528823
79.0,2.225794218311269
80.0,2.2660894575959007
81.0,2.3111199117251324
82.0,2.3559581111679737
83.0,2.395441090163929
84.0,2.4319993323105313
85.0,2.457402870959444
86.0,2.4785118214262876
87.0,2.504539916928061
