beta_para	beta_perp	delta_para	delta_perp	delta	beta	energy
8.970362110082095e-05	8.970362110082095e-05	0.0004500915673242	0.0004372079703855	0.0004415025026984	8.970362110082095e-05	670.0
8.970110787032639e-05	8.970135531136072e-05	0.0004500651979479	0.0004371758169744	0.0004414722772989	8.970127283101595e-05	670.01
8.969859474990622e-05	8.969908961720286e-05	0.0004500397828505	0.0004371447205306	0.0004414430746373	8.969892466143731e-05	670.02
8.969608173955398e-05	8.969682401834187e-05	0.0004500147222753	0.0004371140049508	0.000441414244059	8.969657659207925e-05	670.03
8.969356883926318e-05	8.96946021523832e-05	0.0004499898713392	0.0004370835497938	0.0004413856569756	8.969425771467652e-05	670.04
8.96911382540069e-05	8.969238356155128e-05	0.0004499652283828	0.0004370533211971	0.000441357290259	8.969196845903648e-05	670.05
8.968862557136584e-05	8.9690118245848e-05	0.0004499407575503	0.0004370232480336	0.0004413290845392	8.968962068768728e-05	670.06
8.968611299876678e-05	8.968785302541965e-05	0.0004499163759601	0.0004369932795751	0.0004413009783701	8.968727301653536e-05	670.07
8.968360053620334e-05	8.968558790026083e-05	0.0004498920836508	0.0004369634077976	0.0004412729664153	8.968492544557501e-05	670.08
8.968108818366894e-05	8.968332287036593e-05	0.0004498678679831	0.0004369336186392	0.0004412450350872	8.968257797480028e-05	670.09
8.967857594115713e-05	8.968105793572955e-05	0.0004498437022023	0.0004369038904052	0.0004412171610042	8.96802306042054e-05	670.1
8.967614599892076e-05	8.967883990671676e-05	0.0004498196375367	0.0004368742386443	0.0004411893716085	8.967794193745142e-05	670.11
8.967363397398158e-05	8.967661878837622e-05	0.0004497956673586	0.0004368446873072	0.0004411616806576	8.967562385024468e-05	670.12
8.967112205904564e-05	8.967435413678317e-05	0.0004497717266491	0.0004368151963286	0.0004411340397687	8.967327677753732e-05	670.13
8.966861025410637e-05	8.967208958042669e-05	0.000449747826152	0.0004367857378533	0.0004411064339529	8.967092980498657e-05	670.14
8.966609855915734e-05	8.966982511930127e-05	0.0004497239466356	0.0004367563076665	0.0004410788539896	8.966858293258662e-05	670.15
8.966366915218758e-05	8.966760755678738e-05	0.0004497001442806	0.0004367269357509	0.0004410513385941	8.966629475525412e-05	670.16
8.966115767474705e-05	8.966534328471088e-05	0.0004496764161247	0.0004366976094874	0.0004410238783665	8.966394808138961e-05	670.17
8.965864630727739e-05	8.966312272723015e-05	0.0004496526999941	0.0004366683224384	0.0004409964482903	8.96616305872459e-05	670.18
8.965613504977202e-05	8.96608586442757e-05	0.0004496290088857	0.0004366390718946	0.0004409690508916	8.965928411277446e-05	670.19
8.965362390222455e-05	8.96586414543243e-05	0.0004496053253971	0.0004366098587808	0.0004409416809863	8.965696893695771e-05	670.2
8.965119503036297e-05	8.965637756037527e-05	0.0004495817072005	0.0004365806898655	0.0004409143623105	8.965465005037116e-05	670.21
8.964868410025991e-05	8.965411376161901e-05	0.0004495581525771	0.0004365515283647	0.0004408870697689	8.965230387449931e-05	670.22
8.964617328009533e-05	8.965185005804999e-05	0.0004495346003968	0.0004365223633568	0.0004408597757035	8.964995779873177e-05	670.23
8.964366256986277e-05	8.964967685344831e-05	0.0004495110645086	0.0004364932589602	0.0004408325274763	8.964767209225314e-05	670.24
8.96411519695558e-05	8.964741333753978e-05	0.0004494875281941	0.0004364642125463	0.0004408053177622	8.964532621487846e-05	670.25
8.9638723632644e-05	8.964514991680213e-05	0.0004494640495911	0.0004364351474232	0.0004407781148125	8.964300782208275e-05	670.26
8.963621324971726e-05	8.964293337925501e-05	0.000449440627084	0.0004364061135635	0.0004407509514037	8.964069333607576e-05	670.27
8.963370297669671e-05	8.964067014744658e-05	0.0004494171984784	0.0004363771015462	0.0004407238005236	8.963834775719663e-05	670.28
8.963119281357584e-05	8.963845061585836e-05	0.0004493937628145	0.0004363480985021	0.0004406966532729	8.963603134843084e-05	670.29
8.962876490401968e-05	8.963623435688945e-05	0.0004493703803482	0.0004363191466449	0.0004406695578793	8.96337445392662e-05	670.3
8.962625495822788e-05	8.963397140783109e-05	0.0004493470507247	0.0004362902133479	0.0004406424924735	8.963139925796334e-05	670.31
8.962374512231642e-05	8.963170855391081e-05	0.0004493237137999	0.0004362612624673	0.0004406154129115	8.962905407671269e-05	670.32
8.962123539627883e-05	8.962949257477285e-05	0.0004493003841934	0.0004362323282185	0.0004405883468768	8.962674018194151e-05	670.33
8.961872578010864e-05	8.962727350827769e-05	0.0004492770458395	0.0004362034412219	0.0004405613094278	8.962442426555468e-05	670.34
8.961629840521746e-05	8.962501093704239e-05	0.0004492537574126	0.0004361745570621	0.0004405342905123	8.962210675976741e-05	670.35
8.961378900631225e-05	8.962279523638619e-05	0.0004492305177677	0.0004361456857052	0.0004405072963927	8.961979315969488e-05	670.36
8.961127971725509e-05	8.962053285398243e-05	0.000449207265116	0.000436116826206	0.0004404803058426	8.961744847507331e-05	670.37
