# beta  beta  delta  delta  beta  delta  energy
1.212448764969028961e-03 1.212448764969028961e-03 4.141010870882478635e-03 4.141010870882478635e-03 1.212448764969028961e-03 4.141010870882478635e-03 2.800000000000000000e+02
1.205168351412524682e-03 1.205168351412524682e-03 4.047368014022866174e-03 4.047368014022866174e-03 1.205168351412524682e-03 4.047368014022866174e-03 2.825900660019940460e+02
1.205093724712006081e-03 1.205093724712006081e-03 4.046494689210893524e-03 4.046494689210893524e-03 1.205093724712006081e-03 4.046494689210893524e-03 2.826167320039880337e+02
1.205019104718420232e-03 1.205019104718420232e-03 4.045622301986533456e-03 4.045622301986533456e-03 1.205019104718420232e-03 4.045622301986533456e-03 2.826433980059820783e+02
1.204944491431956871e-03 1.204944491431956871e-03 4.044750842078271430e-03 4.044750842078271430e-03 1.204944491431956871e-03 4.044750842078271430e-03 2.826700640079760660e+02
1.204869884852803564e-03 1.204869884852803564e-03 4.043880299368645022e-03 4.043880299368645022e-03 1.204869884852803564e-03 4.043880299368645022e-03 2.826967300099701106e+02
1.204795284981147229e-03 1.204795284981147229e-03 4.043010663892455427e-03 4.043010663892455427e-03 1.204795284981147229e-03 4.043010663892455427e-03 2.827233960119640983e+02
1.204720691817173697e-03 1.204720691817173697e-03 4.042141925832468813e-03 4.042141925832468813e-03 1.204720691817173697e-03 4.042141925832468813e-03 2.827500620139581429e+02
1.204646105361069017e-03 1.204646105361069017e-03 4.041274075510392291e-03 4.041274075510392291e-03 1.204646105361069017e-03 4.041274075510392291e-03 2.827767280159521306e+02
1.204571525613016203e-03 1.204571525613016203e-03 4.040407103384690765e-03 4.040407103384690765e-03 1.204571525613016203e-03 4.040407103384690765e-03 2.828033940179461752e+02
1.204496952573200653e-03 1.204496952573200653e-03 4.039541000046930133e-03 4.039541000046930133e-03 1.204496952573200653e-03 4.039541000046930133e-03 2.828300600199401629e+02
1.204422386241803863e-03 1.204422386241803863e-03 4.038675756214896509e-03 4.038675756214896509e-03 1.204422386241803863e-03 4.038675756214896509e-03 2.828567260219342074e+02
1.204347826619007761e-03 1.204347826619007761e-03 4.037811362729206571e-03 4.037811362729206571e-03 1.204347826619007761e-03 4.037811362729206571e-03 2.828833920239281952e+02
1.204273273704993411e-03 1.204273273704993411e-03 4.036947810549115605e-03 4.036947810549115605e-03 1.204273273704993411e-03 4.036947810549115605e-03 2.829100580259222397e+02
1.204198727499941222e-03 1.204198727499941222e-03 4.036085090749487805e-03 4.036085090749487805e-03 1.204198727499941222e-03 4.036085090749487805e-03 2.829367240279162274e+02
1.204124188004030305e-03 1.204124188004030305e-03 4.035223194513867795e-03 4.035223194513867795e-03 1.204124188004030305e-03 4.035223194513867795e-03 2.829633900299102720e+02
1.204049655217439120e-03 1.204049655217439120e-03 4.034362113133930713e-03 4.034362113133930713e-03 1.204049655217439120e-03 4.034362113133930713e-03 2.829900560319043166e+02
1.203975129140345693e-03 1.203975129140345693e-03 4.033501838003918961e-03 4.033501838003918961e-03 1.203975129140345693e-03 4.033501838003918961e-03 2.830167220338983043e+02
1.203900609772925881e-03 1.203900609772925881e-03 4.032642360616803257e-03 4.032642360616803257e-03 1.203900609772925881e-03 4.032642360616803257e-03 2.830433880358923489e+02
1.203826097115356410e-03 1.203826097115356410e-03 4.031783672562003207e-03 4.031783672562003207e-03 1.203826097115356410e-03 4.031783672562003207e-03 2.830700540378863366e+02
1.203751591167811835e-03 1.203751591167811835e-03 4.030925765521547501e-03 4.030925765521547501e-03 1.203751591167811835e-03 4.030925765521547501e-03 2.830967200398803811e+02
1.203677091930466497e-03 1.203677091930466497e-03 4.030068631266685991e-03 4.030068631266685991e-03 1.203677091930466497e-03 4.030068631266685991e-03 2.831233860418743689e+02
1.203602599403494084e-03 1.203602599403494084e-03 4.029212261654297952e-03 4.029212261654297952e-03 1.203602599403494084e-03 4.029212261654297952e-03 2.831500520438684134e+02
1.203528113587066335e-03 1.203528113587066335e-03 4.028356648625527718e-03 4.028356648625527718e-03 1.203528113587066335e-03 4.028356648625527718e-03 2.831767180458624011e+02
1.203453634481355637e-03 1.203453634481355637e-03 4.027501784199114671e-03 4.027501784199114671e-03 1.203453634481355637e-03 4.027501784199114671e-03 2.832033840478564457e+02
1.203379162086532644e-03 1.203379162086532644e-03 4.026647660472975308e-03 4.026647660472975308e-03 1.203379162086532644e-03 4.026647660472975308e-03 2.832300500498504334e+02
1.203304696402767143e-03 1.203304696402767143e-03 4.025794269618398862e-03 4.025794269618398862e-03 1.203304696402767143e-03 4.025794269618398862e-03 2.832567160518444780e+02
1.203230237430228484e-03 1.203230237430228484e-03 4.024941603876977698e-03 4.024941603876977698e-03 1.203230237430228484e-03 4.024941603876977698e-03 2.832833820538384657e+02
1.203155785169085371e-03 1.203155785169085371e-03 4.024089655560354924e-03 4.024089655560354924e-03 1.203155785169085371e-03 4.024089655560354924e-03 2.833100480558325103e+02
1.203081339619504119e-03 1.203081339619504119e-03 4.023238417045805169e-03 4.023238417045805169e-03 1.203081339619504119e-03 4.023238417045805169e-03 2.833367140578264980e+02
1.203006900781652564e-03 1.203006900781652564e-03 4.022387880773084338e-03 4.022387880773084338e-03 1.203006900781652564e-03 4.022387880773084338e-03 2.833633800598205426e+02
