beta_para beta_perp delta_para delta_perp delta beta energy
7.106536695165173e-07 7.106536695165173e-07 3.924003524838407e-05 3.904874344804687e-05 3.91125073814926e-05 7.106536695165172e-07 2457.0
7.106537792360686e-07 7.106579806705217e-07 3.923943242249916e-05 3.9048015495965794e-05 3.9111821138143584e-05 7.106565801923707e-07 2457.01
7.106538889302904e-07 7.106650561898259e-07 3.9238834557431956e-05 3.904729501383176e-05 3.911114152836516e-05 7.106613337699806e-07 2457.02
7.106539985991829e-07 7.106696878222451e-07 3.923823849089734e-05 3.904657719120771e-05 3.911046429110425e-05 7.106644580812244e-07 2457.03
7.106541082427471e-07 7.106767630839812e-07 3.923764355051633e-05 3.904586042012739e-05 3.9109788130257035e-05 7.106692114702366e-07 2457.04
7.106542178609831e-07 7.106838382069906e-07 3.923704941683437e-05 3.904514602686492e-05 3.91091138235214e-05 7.106739647583214e-07 2457.05
7.106543274538922e-07 7.106909131912766e-07 3.9236455901553944e-05 3.904443429848254e-05 3.9108441499506346e-05 7.106787179454818e-07 2457.06
7.106544370214743e-07 7.106927800217352e-07 3.9235862880148586e-05 3.90437212571166e-05 3.9107768464793925e-05 7.106799990216483e-07 2457.07
7.106545465637308e-07 7.106998547709742e-07 3.9235270264062865e-05 3.904300681935656e-05 3.9107094634258665e-05 7.106847520352264e-07 2457.08
7.106546560806613e-07 7.107069293814967e-07 3.9234677986980296e-05 3.904229515135966e-05 3.910642276323321e-05 7.106895049478849e-07 2457.09
7.106547655722675e-07 7.107115602443902e-07 3.923408599736509e-05 3.904158334911902e-05 3.910575089853438e-05 7.10692628687016e-07 2457.1
7.106548750385491e-07 7.10718634597379e-07 3.923349425395046e-05 3.90408713485793e-05 3.910507898370302e-05 7.106973814111023e-07 2457.11
7.106549844795073e-07 7.107257088116599e-07 3.923290272298577e-05 3.904016192097461e-05 3.910440885497833e-05 7.107021340342757e-07 2457.12
7.106550938951423e-07 7.107275751264716e-07 3.92323113762215e-05 3.903945075284597e-05 3.910373762730448e-05 7.107034147160284e-07 2457.13
7.106552032854551e-07 7.107346491057326e-07 3.9231720189798e-05 3.9038737751188754e-05 3.910306523072517e-05 7.107081671656402e-07 2457.14
7.106553126504458e-07 7.107417229462928e-07 3.923112914313157e-05 3.903802666341253e-05 3.910239415665221e-05 7.107129195143439e-07 2457.15
7.106554219901157e-07 7.107487966481553e-07 3.923053821838907e-05 3.9037316868266325e-05 3.9101723984973904e-05 7.107176717621421e-07 2457.16
7.106555313044648e-07 7.107534267416317e-07 3.922994739979251e-05 3.903660646825834e-05 3.91010534454364e-05 7.107207949292428e-07 2457.17
7.10655640593494e-07 7.107605001859946e-07 3.92293566734993e-05 3.903589549247514e-05 3.910038255281653e-05 7.107255469884945e-07 2457.18
7.106557498572036e-07 7.107675734916671e-07 3.922876602699777e-05 3.903518631786809e-05 3.909971288757798e-05 7.107302989468459e-07 2457.19
7.106558590955949e-07 7.107718826046256e-07 3.9228175449100084e-05 3.903447694094669e-05 3.9099043110331155e-05 7.107332081016153e-07 2457.2
7.106559683086676e-07 7.107765122652845e-07 3.922758492962362e-05 3.9033765530578616e-05 3.9098371996926946e-05 7.107363309464121e-07 2457.21
7.10656077496423e-07 7.107835851972874e-07 3.922699445925708e-05 3.9033054055723734e-05 3.9097700856901515e-05 7.107410826303327e-07 2457.22
7.106561866588612e-07 7.1079065799061e-07 3.922640402943145e-05 3.903234373184937e-05 3.909703049771006e-05 7.107458342133604e-07 2457.23
7.106562957959833e-07 7.107977306452558e-07 3.9225813632232075e-05 3.9031634491750636e-05 3.9096360871911116e-05 7.107505856954983e-07 2457.24
7.106564049077895e-07 7.10802359850636e-07 3.9225223260268825e-05 3.9030924562382435e-05 3.909569079501123e-05 7.107537082030205e-07 2457.25
