beta_para beta_perp delta_para delta_perp delta beta energy
8.970362110082095e-05 8.970362110082095e-05 0.0004480215718142556 0.0004336112400151542 0.000438414683948188 8.970362110082095e-05 670.0
8.970114625158291e-05 8.970140359734398e-05 0.000447994442376878 0.00043357765578931607 0.00043838325131850337 8.970131781542362e-05 670.01
8.969873911172569e-05 8.969922489397098e-05 0.0004479683161752672 0.000433545164915507 0.00043835288200209374 8.969906296655589e-05 670.02
8.969626447602964e-05 8.969700757417277e-05 0.00044794258550861593 0.00043351307912390476 0.00043832291458547517 8.969675987479173e-05 670.03
8.969378994810406e-05 8.969482796488762e-05 0.00044791707274960673 0.0004334812440631068 0.00043829318695860677 8.96944819592931e-05 670.04
8.969131552794266e-05 8.96926495329978e-05 0.0004478917311089221 0.0004334496252039296 0.0004382636605055938 8.969220486464609e-05 670.05
8.968884121553908e-05 8.969043248813316e-05 0.0004478665264484376 0.0004334181460868802 0.000438234272874066 8.968990206393512e-05 670.06
8.968636701088691e-05 8.96882542375696e-05 0.0004478414355674984 0.00043338677871112977 0.0004382049976632526 8.96876251620087e-05 670.07
8.968389291397991e-05 8.9686074989944e-05 0.0004478164417478407 0.0004333555314209053 0.0004381758348632171 8.968534763128931e-05 670.08
8.968141892481171e-05 8.96838969195633e-05 0.00044779153234317736 0.00043332438964561884 0.000438146770544805 8.968307092131277e-05 670.09
8.967894504337596e-05 8.96816802408075e-05 0.00044776669738354414 0.0004332933141666035 0.0004381177752389171 8.968076850833033e-05 670.1
8.967647126966629e-05 8.96795023517115e-05 0.0004477419286688151 0.0004332622959579781 0.0004380888401949237 8.967849199102978e-05 670.11
8.96739976036764e-05 8.967732346566254e-05 0.00044771721900868747 0.00043323135554681146 0.00043805997670077015 8.967621484500049e-05 670.12
8.967152404539995e-05 8.967514575670802e-05 0.00044769256096431745 0.00043320048674111585 0.00043803117814884975 8.967393851960533e-05 670.13
8.966905059483057e-05 8.967292944397737e-05 0.00044766793535660067 0.0004331696563318273 0.0004380024160067517 8.967163649426176e-05 670.14
8.966664482733464e-05 8.967075191626601e-05 0.00044764338663757825 0.00043313885969934623 0.00043797370201209025 8.966938288662223e-05 670.15
8.966417159014375e-05 8.966857339171083e-05 0.0004476189113659113 0.00043310812056159426 0.00043794505082969996 8.96671061245218e-05 670.16
8.9661698460641e-05 8.966639604409963e-05 0.00044759445810785964 0.000433077434612513 0.0004379164424442952 8.966483018294675e-05 670.17
8.965922543882012e-05 8.96641800973104e-05 0.00044757003872615683 0.0004330467636103794 0.00043788785531563855 8.966252854448031e-05 670.18
8.965675252467468e-05 8.966204053216742e-05 0.00044754565273862843 0.00043301613922408424 0.000437859310395599 8.966027786300316e-05 670.19
8.96542797181984e-05 8.965982476775647e-05 0.0004475212984316847 0.0004329855580556992 0.00043783080484769435 8.965797641790378e-05 670.2
8.965180701938495e-05 8.965764778140573e-05 0.0004474969734961488 0.0004329549755459299 0.0004378023081960029 8.965570086073214e-05 670.21
8.964933442822801e-05 8.965550848296099e-05 0.00044747267432041816 0.0004329244595746273 0.00043777386448989094 8.965345046471667e-05 670.22
8.964686194472118e-05 8.965329299206224e-05 0.00044744838480214466 0.00043289397295509356 0.0004377454435707773 8.965114930961522e-05 670.23
8.9644457126084e-05 8.965111627574486e-05 0.00044742415188319686 0.0004328634863370835 0.00043771704151912127 8.964889655919125e-05 670.24
8.964198485584265e-05 8.964893856282913e-05 0.000447399974171488 0.00043283303286675216 0.0004376886799683308 8.96466206605003e-05 670.25
8.963951269323249e-05 8.964676202651909e-05 0.0004473758019070544 0.00043280260373749276 0.00043766033646067994 8.964434558209023e-05 670.26
8.963704063824724e-05 8.964458558018872e-05 0.00044735164822173385 0.0004327721977420742 0.0004376320145686274 8.964207059954157e-05 670.27
8.963456869088059e-05 8.964240813734181e-05 0.0004473275133705878 0.00043274181226879996 0.0004376037126360626 8.96397949885214e-05 670.28
8.963209685112614e-05 8.964023187098787e-05 0.00044730339505763664 0.00043271144586258433 0.00043757542892760177 8.963752019770063e-05 670.29
8.96296251189776e-05 8.963805569459822e-05 0.0004472792780895286 0.00043268109800072405 0.0004375471580303256 8.963524550272468e-05 670.3
8.962722103754534e-05 8.96358785217738e-05 0.00044725521010480516 0.0004326507655550819 0.00043751891373832304 8.963299269369765e-05 670.31
8.962474951857437e-05 8.963370252532965e-05 0.00044723119029519543 0.0004326204396030394 0.00043749068983375806 8.963071818974455e-05 670.32
8.962227810719044e-05 8.963156420439636e-05 0.0004472071694057591 0.0004325901476383832 0.0004374624882275085 8.962846883866105e-05 670.33
