beta_para beta_perp delta_para delta_perp delta beta energy
1.638860038543842e-06 1.638860038543842e-06 3.4309802908855694e-05 3.470276078312357e-05 3.457177482503428e-05 1.6388600385438417e-06 2460.0
1.638870824467856e-06 1.6388618948337033e-06 3.430879224588853e-05 3.470190935692571e-05 3.4570870319913315e-05 1.638864871378421e-06 2460.01
1.6388816101623297e-06 1.6388675415686674e-06 3.4307797783044096e-05 3.470107124677048e-05 3.456998009219502e-05 1.6388722310998881e-06 2460.02
1.6388923956272664e-06 1.6388693976590235e-06 3.430681135031975e-05 3.4700238911690896e-05 3.456909639123384e-05 1.6388770636484378e-06 2460.03
1.6388951444226411e-06 1.638871253665039e-06 3.430582518291191e-05 3.469940798782843e-05 3.456821371952292e-05 1.6388792172509064e-06 2460.04
1.6389059294938534e-06 1.6388731005705503e-06 3.430483854377473e-05 3.4698578396827265e-05 3.456733177914309e-05 1.6388840435449847e-06 2460.05
1.6389167143355432e-06 1.6388749564079627e-06 3.430385836676812e-05 3.469774896053645e-05 3.4566452095947004e-05 1.638888875717156e-06 2460.06
1.6389194627036866e-06 1.6388806025364055e-06 3.430287682443282e-05 3.469692209578644e-05 3.45655736720019e-05 1.638893555925499e-06 2460.07
1.6389302471516742e-06 1.6388824581743331e-06 3.430189349997469e-05 3.469609748459313e-05 3.456469615638698e-05 1.6388983878334466e-06 2460.08
1.6389410313701512e-06 1.6388843137279296e-06 3.430091411722449e-05 3.4695271433034895e-05 3.4563818994431424e-05 1.63890321960867e-06 2460.09
1.6389518153591224e-06 1.6388899594801188e-06 3.429993850539354e-05 3.469444733885586e-05 3.4562944394368424e-05 1.6389105781064533e-06 2460.1
1.638954563135892e-06 1.6388918148342439e-06 3.429896056890693e-05 3.469362519331731e-05 3.456207031851385e-05 1.638912730934793e-06 2460.11
1.6389653467311938e-06 1.6388936610883928e-06 3.429798020717307e-05 3.4692802180552994e-05 3.456119485609302e-05 1.6389175563026597e-06 2460.12
1.6389761300970009e-06 1.6388955162739427e-06 3.42970033087551e-05 3.46919789305549e-05 3.4560320389954965e-05 1.6389223875482953e-06 2460.13
1.6389869132333198e-06 1.6388973713751708e-06 3.4296029819501786e-05 3.469115464664728e-05 3.455944637093211e-05 1.6389272186612203e-06 2460.14
1.6389896604187691e-06 1.6389030165209357e-06 3.4295053757339207e-05 3.469033190703973e-05 3.455857252380622e-05 1.6389318978202136e-06 2460.15
1.63900044316145e-06 1.6389048714227144e-06 3.429407522241408e-05 3.468950983827436e-05 3.455769829965427e-05 1.6389367286689596e-06 2460.16
1.639011225674654e-06 1.6389105163074104e-06 3.429310162464294e-05 3.468868832335111e-05 3.4556826090448386e-05 1.6389440860964914e-06 2460.17
1.63901397243298e-06 1.6389123710097483e-06 3.429212542947982e-05 3.468786742001272e-05 3.455595342316842e-05 1.6389462381508253e-06 2460.18
1.6390247545525693e-06 1.6389180156333857e-06 3.4291146385813885e-05 3.4687047978651124e-05 3.455508078103871e-05 1.6389535952731135e-06 2460.19
1.6390355364426953e-06 1.6389160711464262e-06 3.4290170211861673e-05 3.468622796947918e-05 3.455420871694001e-05 1.6389558929118492e-06 2460.2
1.639046318103362e-06 1.6389179255959078e-06 3.428919534963664e-05 3.4685403912003695e-05 3.4553334391214675e-05 1.6389607230983927e-06 2460.21
1.6390570995345744e-06 1.638923569874265e-06 3.42882232606437e-05 3.468458194607138e-05 3.455246238426215e-05 1.6389680797610346e-06 2460.22
1.6390598455375434e-06 1.6389254241243275e-06 3.428724810481237e-05 3.468376049524797e-05 3.45515896984361e-05 1.638970231262066e-06 2460.23
1.6390706265751812e-06 1.6389310681416512e-06 3.4286269900626876e-05 3.468293934070203e-05 3.455071619401031e-05 1.6389775876194945e-06 2460.24
1.639081407383376e-06 1.638932922192303e-06 3.42852946035129e-05 3.468211840083964e-05 3.454984380173073e-05 1.6389824172559939e-06 2460.25
1.6390921879621344e-06 1.6389385659486033e-06 3.428432218939191e-05 3.468129764360785e-05 3.454897249220254e-05 1.638989773286447e-06 2460.26
1.6390949333739435e-06 1.6389404197998548e-06 3.428334665419267e-05 3.468047707635981e-05 3.454810026897077e-05 1.6389919243245509e-06 2460.27
1.639105713559158e-06 1.6389460632951423e-06 3.4282367928430346e-05 3.467965678859825e-05 3.4547227168542285e-05 1.638999280049814e-06 2460.28
1.6391164935149485e-06 1.638947916947001e-06 3.428139179615247e-05 3.467883758049646e-05 3.4546355652381796e-05 1.639004109136317e-06 2460.29
1.6391272732413187e-06 1.6389497615002378e-06 3.42804167311629e-05 3.467801671426819e-05 3.4545483386566427e-05 1.639008932080598e-06 2460.3
1.6391380527382734e-06 1.6389516149835928e-06 3.4279444208648274e-05 3.467719417460503e-05 3.454461085261944e-05 1.6390137609018197e-06 2460.31
1.6391407973948787e-06 1.638957257987766e-06 3.4278468385339845e-05 3.4676372668173533e-05 3.454373790722897e-05 1.6390184377901369e-06 2460.32
1.6391515764983296e-06 1.6389591112717459e-06 3.427748924307134e-05 3.467555136180733e-05 3.454286398889533e-05 1.6390232663472738e-06 2460.33
1.639162355372378e-06 1.6389647540149372e-06 3.427651258773818e-05 3.467473012945991e-05 3.4541990948886005e-05 1.6390306211340842e-06 2460.34
1.6391731340170286e-06 1.638966607099551e-06 3.4275536903490925e-05 3.467390892002106e-05 3.454111824784435e-05 1.6390354494053767e-06 2460.35
1.6391839124322852e-06 1.6389722495817707e-06 3.427456366860953e-05 3.4673087706964614e-05 3.454024636084625e-05 1.6390428038652755e-06 2460.36
1.639186656333772e-06 1.6389741024670275e-06 3.427358703602416e-05 3.467226647600213e-05 3.4539373329342805e-05 1.6390449537559422e-06 2460.37
1.6391974343555649e-06 1.6389797446882868e-06 3.4272606971873295e-05 3.46714452225061e-05 3.453849913896183e-05 1.6390523079107129e-06 2460.38
1.6392082121479767e-06 1.6389815973741952e-06 3.427162923681069e-05 3.467062395389823e-05 3.4537625714869056e-05 1.6390571356321224e-06 2460.39
1.639218989711012e-06 1.6389872393345038e-06 3.4270652161022135e-05 3.466980270183198e-05 3.4536752521562035e-05 1.6390644894600064e-06 2460.4
1.6392297670446761e-06 1.6389890918210731e-06 3.4269675729772206e-05 3.4668981572337355e-05 3.453587962481564e-05 1.6390693168956073e-06 2460.41
1.6392405441489726e-06 1.6389947335204418e-06 3.426870158240821e-05 3.4668161377584805e-05 3.453500811252594e-05 1.6390766703966187e-06 2460.42
1.6392432871313688e-06 1.6389927875280383e-06 3.4267723923553396e-05 3.466733938919947e-05 3.453413423398411e-05 1.639076287395815e-06 2460.43
1.639254063842249e-06 1.638998428997352e-06 3.4266742741713016e-05 3.4666515598888044e-05 3.45332579798297e-05 1.6390836406123176e-06 2460.44
1.6392648403237752e-06 1.6390002811161447e-06 3.4265763808421064e-05 3.466569271815689e-05 3.453238308157828e-05 1.6390884675186881e-06 2460.45
1.6392756165759513e-06 1.6390059223245388e-06 3.426478545947102e-05 3.466486991753255e-05 3.453150843151204e-05 1.6390958204083431e-06 2460.46
1.6392863925987825e-06 1.6390077742440185e-06 3.4263807681936e-05 3.46640470727806e-05 3.453063394249907e-05 1.63910064702894e-06 2460.47
1.639297168392272e-06 1.6390134151915037e-06 3.426283211350119e-05 3.4663224132753024e-05 3.452976012633575e-05 1.6391079995917599e-06 2460.48
1.6392999104557023e-06 1.639015266911679e-06 3.426185295303184e-05 3.4662401068101854e-05 3.452888502974518e-05 1.6391101480930202e-06 2460.49
1.6393106858558237e-06 1.6390209075982658e-06 3.426087017572689e-05 3.466157785793491e-05 3.452800863053224e-05 1.639117500350785e-06 2460.5
1.6393214610266167e-06 1.6390227591191455e-06 3.425988952453656e-05 3.466075448437555e-05 3.452713283109589e-05 1.6391223264216358e-06 2460.51
1.6393322359680871e-06 1.639028399544844e-06 3.425890926868468e-05 3.465993092908701e-05 3.452625704228624e-05 1.6391296783525916e-06 2460.52
1.6393430106802376e-06 1.6390302508664382e-06 3.4257929192322865e-05 3.465910716888936e-05 3.452538117670053e-05 1.6391345041377046e-06 2460.53
1.6393537851630745e-06 1.6390358910312595e-06 3.425694928450684e-05 3.4658283165429546e-05 3.4524505205121976e-05 1.6391418557418645e-06 2460.54
1.6393645594166009e-06 1.6390377421535758e-06 3.425596973816885e-05 3.46574588235711e-05 3.452362912843702e-05 1.6391466812412508e-06 2460.55
1.6393753334408221e-06 1.63904338205753e-06 3.425499225929853e-05 3.465663340165243e-05 3.45227530208678e-05 1.6391540325186275e-06 2460.56
1.6393780742573934e-06 1.6390490218156556e-06 3.4254011075868034e-05 3.465581033610696e-05 3.452187724936065e-05 1.6391587059629017e-06 2460.57
1.6393888478883106e-06 1.639050872623676e-06 3.4253026174981316e-05 3.465498617030683e-05 3.452099950519833e-05 1.6391635310452208e-06 2460.58
1.6393996212899349e-06 1.6390565121209503e-06 3.425204330080821e-05 3.4654161623431575e-05 3.452012218255712e-05 1.639170881843945e-06 2460.59
1.6394103944622718e-06 1.6390583627297168e-06 3.425106071397733e-05 3.4653336761724506e-05 3.4519244745808776e-05 1.6391757066405685e-06 2460.6
1.6394211674053245e-06 1.6390640019661504e-06 3.4250078173468355e-05 3.465251157792544e-05 3.451836710977308e-05 1.6391830571125418e-06 2460.61
1.6394319401190985e-06 1.6390658523756717e-06 3.424909560387551e-05 3.465168599083817e-05 3.451748919518395e-05 1.6391878816234807e-06 2460.62
1.6394427126035974e-06 1.6390714913512753e-06 3.4248112997141634e-05 3.465085926491355e-05 3.451661050898958e-05 1.639195231768716e-06 2460.63
1.639453484858827e-06 1.6390771301810715e-06 3.424713041252983e-05 3.465003483709109e-05 3.4515733362237335e-05 1.6392025817403234e-06 2460.64
1.6394642568847906e-06 1.6390789802763442e-06 3.4246148074109205e-05 3.464920924486554e-05 3.4514855521280096e-05 1.6392074058124928e-06 2460.65
1.6394750286814935e-06 1.6390846188453262e-06 3.4245167702960055e-05 3.464838318680345e-05 3.451397802552232e-05 1.639214755457382e-06 2460.66
1.6394777679234866e-06 1.6390864687413765e-06 3.424418353503272e-05 3.464755665640063e-05 3.451309894927799e-05 1.63921690180208e-06 2460.67
1.6394885393269668e-06 1.6390921070495552e-06 3.424319555974124e-05 3.464672894159452e-05 3.451221781431009e-05 1.6392242511420257e-06 2460.68
1.6394993105011978e-06 1.639097745211939e-06 3.42422095190869e-05 3.464590348919582e-05 3.4511338832492854e-05 1.6392316003083585e-06 2460.69
1.6395100814461858e-06 1.6390995947937774e-06 3.424122366753313e-05 3.4645076841843657e-05 3.451045911707348e-05 1.6392364236779135e-06 2460.7
1.6395208521619342e-06 1.6391052326953738e-06 3.4240237751810844e-05 3.464424970077773e-05 3.45095790511221e-05 1.6392437725175605e-06 2460.71
1.6395316226484487e-06 1.639107082078013e-06 3.4239251673864734e-05 3.464342206079175e-05 3.450869859848274e-05 1.6392485956014915e-06 2460.72
1.6395423929057317e-06 1.639112719718832e-06 3.423826538339775e-05 3.4642593210292816e-05 3.4507817267994464e-05 1.6392559441144653e-06 2460.73
1.6395531629337906e-06 1.6391183572138727e-06 3.4237278849774086e-05 3.46417665954299e-05 3.4506937346877964e-05 1.6392632924538453e-06 2460.74
1.6395639327326274e-06 1.6391202062823334e-06 3.4236292052353664e-05 3.4640938757512596e-05 3.450605652245962e-05 1.639268115099098e-06 2460.75
1.639574702302248e-06 1.6391258435166127e-06 3.423530497591788e-05 3.464011039472232e-05 3.450517525512084e-05 1.6392754631118246e-06 2460.76
1.6395854716426567e-06 1.6391276923858974e-06 3.423431760867465e-05 3.4639281496266826e-05 3.4504293533736096e-05 1.6392802854714838e-06 2460.77
1.6395962407538577e-06 1.6391333293594264e-06 3.4233329940908974e-05 3.463845133931875e-05 3.4503410873182155e-05 1.6392876331575702e-06 2460.78
1.639607009635856e-06 1.6391389661871898e-06 3.423234196449595e-05 3.46376233443151e-05 3.450252955104205e-05 1.6392949806700784e-06 2460.79
1.6396177782886553e-06 1.6391408147423318e-06 3.423135367217211e-05 3.4636793973601605e-05 3.4501647206458444e-05 1.6392998025911064e-06 2460.8
1.6396285467122615e-06 1.6391464513093612e-06 3.4230365057683006e-05 3.4635963210472594e-05 3.45007638262094e-05 1.6393071497769945e-06 2460.81
1.6396393149066772e-06 1.6391520877306331e-06 3.422937611505868e-05 3.463513454960893e-05 3.4499881738092184e-05 1.6393144967893144e-06 2460.82
1.639650082871909e-06 1.6391539359716546e-06 3.4228386839035236e-05 3.463430447644875e-05 3.449899859731091e-05 1.6393193182717395e-06 2460.83
1.6396608506079596e-06 1.639159572132209e-06 3.422739722443969e-05 3.463347298343044e-05 3.449811439710019e-05 1.639326664957459e-06 2460.84
1.6396716181148353e-06 1.6391652081470152e-06 3.422640726656078e-05 3.4632643569315694e-05 3.4497231468397386e-05 1.639334011469622e-06 2460.85
1.6396823853925385e-06 1.6391670560739365e-06 3.422541696068705e-05 3.4631812720945936e-05 3.4496347467526305e-05 1.6393388325134705e-06 2460.86
1.6396931524410762e-06 1.6391726918280408e-06 3.422442630247852e-05 3.4630980430504956e-05 3.4495462387829476e-05 1.6393461786990524e-06 2460.87
1.6397039192604506e-06 1.6391783274364049e-06 3.42234352874819e-05 3.463015019448468e-05 3.4494578558817085e-05 1.6393535247110868e-06 2460.88
1.6397146858506677e-06 1.6391801750492483e-06 3.422244391150052e-05 3.462931849544895e-05 3.449369363413281e-05 1.639358345316388e-06 2460.89
1.639725452211731e-06 1.6391858103969263e-06 3.4221452170259375e-05 3.4628485317162835e-05 3.449280760152835e-05 1.6393656910018612e-06 2460.9
1.6397362183436468e-06 1.639191445598874e-06 3.422046005955567e-05 3.462765413964622e-05 3.449192277961604e-05 1.6393730365137983e-06 2460.91
1.6397469842464166e-06 1.6391932928976602e-06 3.421946757513233e-05 3.462682140899573e-05 3.449103679770793e-05 1.639377856680579e-06 2460.92
1.6397577499200481e-06 1.6391989278389378e-06 3.421847471270447e-05 3.4625987003289023e-05 3.4490149573094175e-05 1.6393852018659744e-06 2460.93
1.6397685153645437e-06 1.6392045626344924e-06 3.421748146783237e-05 3.462515360037042e-05 3.44892628895244e-05 1.639392546877843e-06 2460.94
1.6397792805799092e-06 1.6392102062938998e-06 3.421648783597694e-05 3.462432040501117e-05 3.448837621533309e-05 1.6393998977225696e-06 2460.95
1.6397900455661483e-06 1.6392158407979453e-06 3.421549381242257e-05 3.462348740639041e-05 3.4487489541734465e-05 1.6394072423873462e-06 2460.96
1.6398008103232656e-06 1.6392214751562778e-06 3.4214499392067156e-05 3.462265537478952e-05 3.448660338054873e-05 1.639414586878607e-06 2460.97
1.6398115748512662e-06 1.6392233217961603e-06 3.421350456952601e-05 3.4621821594185825e-05 3.448571591929922e-05 1.6394194061478623e-06 2460.98
1.639822339150154e-06 1.6392289558938557e-06 3.421250933885302e-05 3.462098609480985e-05 3.448482717615758e-05 1.6394267503126218e-06 2460.99
1.6398331032199337e-06 1.6392345898458466e-06 3.4211513693396836e-05 3.462015170193347e-05 3.448393903242126e-05 1.6394340943038758e-06 2461.0
1.6398438670606094e-06 1.639240223652135e-06 3.421051762556306e-05 3.461931842522262e-05 3.448305149200277e-05 1.6394414381216266e-06 2461.01
1.639854630672187e-06 1.639242069863107e-06 3.420952112622303e-05 3.4618483470184256e-05 3.448216268886385e-05 1.639446256799467e-06 2461.02
1.6398653940546692e-06 1.63924770340878e-06 3.4208524184297844e-05 3.461764690010221e-05 3.448127266150075e-05 1.639453600290743e-06 2461.03
1.6398761572080624e-06 1.6392533368087613e-06 3.420752678525722e-05 3.461681221234942e-05 3.448038373665202e-05 1.6394609436085284e-06 2461.04
1.6398869201323694e-06 1.6392551827057692e-06 3.420652890921575e-05 3.461597584010096e-05 3.447949352980589e-05 1.639465761847969e-06 2461.05
1.6398976828275959e-06 1.6392608158451508e-06 3.420553052646084e-05 3.461513758720883e-05 3.447860190029283e-05 1.6394731048392993e-06 2461.06
1.639908445293746e-06 1.6392664488388472e-06 3.420453158741305e-05 3.461429941569054e-05 3.447771013959805e-05 1.6394804476571468e-06 2461.07
1.6399192075308238e-06 1.6392758779604303e-06 3.420353199513962e-05 3.461346402777191e-05 3.447682001689448e-05 1.6394903211505617e-06 2461.08
